Generating SQLite file nsys.923946.r20.w.sqlite from nsys.923946.r20.w.qdrep
Using nsys.923946.r20.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.923946.r20.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average     Minimum   Maximum                Name            
 -------  ---------------  ---------  ------------  -------  ----------  ----------------------------
    40.5      36795426479       2090    17605467.2    12851   176020604  cudaEventSynchronize        
    19.6      17779875064     369401       48131.6     9277    72715052  cudaLaunchKernel            
    13.0      11817127559       3072     3846721.2    10884    47928215  cuMemcpyHtoDAsync_v2        
     9.5       8606873491          8  1075859186.4     4019  8606836636  cudaStreamCreateWithFlags   
     5.1       4590522836         38   120803232.5     1201  3563110645  cudaFree                    
     2.8       2521680792      33874       74443.0     1055    36617671  cuEventRecord               
     2.2       2032424492        486     4181943.4     9248   114346167  cuModuleUnload              
     1.8       1601152600      21856       73259.2      709    34848318  cuEventDestroy_v2           
     1.7       1502899648      43507       34543.9    11308    35993457  cudaMemcpyAsync             
     0.8        704655915         56    12583141.3    10134   421805294  cuEventSynchronize          
     0.7        614648554      16540       37161.3     7117    60564039  cudaMemsetAsync             
     0.5        425326983      31055       13695.9     1070    22628856  cuEventQuery                
     0.5        424780359      58276        7289.1     1503    19265543  cudaEventRecord             
     0.3        277315748         51     5437563.7    11080   275674543  cuMemAlloc_v2               
     0.3        277150786      10980       25241.4     6526    56476364  cuMemsetD32Async            
     0.2        181415989      10951       16566.2     3176    21606512  cudaBindTexture             
     0.2        162373123       2896       56068.1     9648     5462375  cuCtxSynchronize            
     0.2        144481142       2970       48646.8    10043     2484493  cuMemcpyDtoHAsync_v2        
     0.1         75765681      21872        3464.0      781     3401574  cuEventCreate               
     0.1         67355425       6001       11224.0     1170     8307621  cuStreamWaitEvent           
     0.1         60397565         41     1473111.3    10177     5477870  cudaMalloc                  
     0.0         44470312      10951        4060.8     1068      108231  cudaUnbindTexture           
     0.0         38195376       1408       27127.4     8721      185922  cudaEventQuery              
     0.0         37702787         18     2094599.3   539347     4436091  cudaIpcOpenMemHandle        
     0.0         29162043         18     1620113.5  1199196     2390820  cudaIpcCloseMemHandle       
     0.0         12939210          5     2587842.0  1677770     4279985  cuMemHostAlloc              
     0.0          9236345         50      184726.9   115687      842886  cuModuleLoadFatBinary       
     0.0          3447872         10      344787.2     3687     3383022  cuStreamCreate              
     0.0          2691676       1162        2316.4     1320       14179  cudaStreamWaitEvent         
     0.0          1548041         82       18878.5    10642       39426  cuLaunchKernel              
     0.0          1380414          6      230069.0    18169      895628  cudaHostAlloc               
     0.0          1004035          5      200807.0     4259      887431  cudaStreamCreateWithPriority
     0.0           952734         50       19054.7    13223       30418  cuMemFree_v2                
     0.0           871708         26       33527.2    19075      116220  cudaMemcpy                  
     0.0           583941         28       20855.0     8746       63024  cudaMemset                  
     0.0           369980          5       73996.0    20777      208097  cudaFreeHost                
     0.0           357960         42        8522.9     5339       38403  cuStreamSynchronize         
     0.0           216612          1      216612.0   216612      216612  cuMemGetInfo_v2             
     0.0           115788         52        2226.7     1123        7408  cudaEventCreateWithFlags    
     0.0            60153          1       60153.0    60153       60153  cuMemsetD32_v2              
     0.0            34866          1       34866.0    34866       34866  cudaStreamSynchronize       
     0.0            29072          8        3634.0     2041        4801  cudaEventDestroy            
     0.0            24415          7        3487.9     2060        5060  cudaEventCreate             
     0.0            11464          4        2866.0     1406        3869  cuInit                      

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.923946.r20.w.sqlite]... 

 Time(%)  Total Time (ns)  Instances    Average    Minimum    Maximum                                                   Name                                                
 -------  ---------------  ---------  -----------  --------  ---------  ----------------------------------------------------------------------------------------------------
    40.4      30179466435       1587   19016677.0    561407  176490463  ncclAllReduceRingLLKernel_sum_f32(ncclColl)                                                         
    11.8       8792881891       4083    2153534.6    664126    4026999  void cudnn::detail::wgrad_alg1_nd_float_engine<float, 3, 0, 5, 7, 4, 3, 5, true, true>(int, int, in…
    10.3       7705477380        503   15319040.5    106688  132643767  ncclAllReduceTreeLLKernel_sum_f32(ncclColl)                                                         
    10.2       7614010965      77072      98790.9      3551     726495  void tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<float, 256, 32, 32, false>(float co…
     4.5       3333659516      19376     172051.0      2687    1511166  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     3.5       2648584858       4084     648527.1    200927    1502206  volta_scudnn_128x64_stridedB_splitK_small_nn_v1                                                     
     2.8       2064466043       5642     365910.3    118784  101786526  volta_scudnn_128x64_stridedB_splitK_interior_nn_v1                                                  
     2.4       1804750320       6800     265404.5     10784    1052926  void cudnn::detail::pooling_bw_5d_kernel_max<float, float, cudnn::detail::maxpooling_func<float, (c…
     2.0       1513387585      11264     134356.1      2687     820799  void tensorflow::BiasNHWCKernel<float>(int, float const*, float const*, float*, int)                
     1.9       1412367881       1410    1001679.3    983070    1297310  void cudnn::detail::implicit_convolveNd_sgemm<float, 3, 1024, 5, 5, 3, 3, 3, 1, true, false, true>(…
     1.4       1052161930      10880      96706.1      2720     753950  void tensorflow::BiasGradNHWC_SharedAtomics<float>(int, float const*, float*, int)                  
     1.4       1021104794      13840      73779.2      5759     235903  void tensorflow::functor::PadInputCustomKernelNHWC<float, 5>(int, float const*, tensorflow::functor…
     1.0        746717597       7040     106067.8      4767     391423  void cudnn::detail::pooling_fw_5d_kernel<float, float, cudnn::detail::maxpooling_func<float, (cudnn…
     1.0        742875183       1362     545429.6    163456     622975  void cudnn::detail::wgrad_alg1_nd_float_engine<float, 3, 0, 5, 7, 4, 3, 5, true, false>(int, int, i…
     0.8        579416670       6800      85208.3      4608     419808  void scaleTensor5d_kernel<float, float, 8, 8, 8>(cudnnTensorStruct, float*, float)                  
     0.7        556394849       9726      57207.0      2816     861790  void cudnn::gemm::setOutputKernel<float>(unsigned long, float*, float)                              
     0.6        479842654          2  239921327.0  58062262  421780392  void cudnn::detail::convolveNd_wgrad_engine<float, 3, 512, 6, 5, 3, 3, 3, true>(int, int, int, floa…
     0.4        285306456       2768     103073.1    100352     162048  void tensorflow::functor::SwapDimension1And2InTensor3UsingTiles<unsigned int, 1024, 1024, 2, false>…
     0.4        284344385       5440      52269.2      5407     215903  void tensorflow::functor::PadInputCustomKernelNCHW<float, 5>(int, float const*, tensorflow::functor…
     0.3        245806935       1362     180475.0    175871    1455678  void cudnn::detail::convolveNd_wgrad_engine<float, 3, 128, 6, 8, 3, 3, 5, true>(int, int, int, floa…
     0.3        206947278       1364     151720.9    147168    1852702  void cudnn::detail::convolveNd_dgrad_float_engine<float, 3, 128, 6, 8, 3, 3, 5, true>(int, int, int…
     0.3        189573290      19280       9832.6      4064      28768  void tensorflow::functor::ShuffleInTensor3Simple<float, 2, 1, 0, false>(int, float const*, tensorfl…
     0.2        179553686      21760       8251.5      3008      75008  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.2        172686207      21760       7935.9      2719      73024  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.2        141122240      21760       6485.4      2688      53504  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.1        106309476       8160      13028.1      2687      64735  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.1         96719175       4128      23430.0      3135      65408  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.1         81857972       8216       9963.2      2654      46048  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.1         60378972       1049      57558.6     28735     740159  void gemv2T_kernel_val<int, int, float2, float2, float2, 128, 16, 2, 2, false, cublasGemvParams<cub…
     0.1         49065738       9721       5047.4      2623      57888  cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams)                                
     0.1         43150562       1408      30646.7     28831      32672  void gemv2N_kernel<int, int, float, float, float, 128, 8, 4, 4, 1, cublasGemvParams<cublasGemvTenso…
     0.1         39885717       4080       9775.9      3423      24287  void gemmk1_kernel<float, 256, 5, false, false, true, false, cublasGemvTensorStridedBatched<float c…
     0.0         35740046       1360      26279.4     25472      32384  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0         34938046       1360      25689.7     24608      28448  void gemv2T_kernel_val<int, int, float, float, float, 128, 16, 4, 4, false, cublasGemvParams<cublas…
     0.0         29501412       9726       3033.3      2495       8576  cudnn::gemm::computeBOffsetsKernel(cudnn::gemm::ComputeBOffsetsParams)                              
     0.0         17139142       2728       6282.7      5024      25760  void tensorflow::functor::FillPhiloxRandomKernelLaunch<tensorflow::random::UniformDistribution<tens…
     0.0         17017945       5632       3021.7      2687       7039  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0         14464368       2105       6871.4      3680    1515550  void transpose_readWrite_alignment_kernel<float2, float2, 1, false, 6, 4, 4>(cublasTransposeParams<…
     0.0         14228631       4224       3368.5      2911       6079  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0         11378766       1056      10775.3      7072     885055  void fft3d_r2c_16x16x16<float, float, float2>(float2*, float*, int3, int3, int3, int3, int3, bool)  
     0.0         10948589       2816       3888.0      3135       7872  void gemvNSP_kernel<float, float, float, 1, 32, 4, 1024, cublasGemvParams<cublasGemvTensorStridedBa…
     0.0          9223833       2816       3275.5      2879       5599  void tensorflow::functor::BlockReduceKernel<float*, tensorflow::TransformOutputIterator<float, floa…
     0.0          9195599       1049       8766.1      7648      32288  void fft3d_c2r_16x16x16<float2, float, float>(float*, float2*, int3, int3, int3, int3, int3, float,…
     0.0          8645463       2768       3123.4      2752       5952  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0          8593488       2720       3159.4      2880       4928  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0          8589699       1364       6297.4      5952     102080  void setTensor5d_kernel<float, float, 8, 8, 8>(cudnnTensorStruct, float*, float)                    
     0.0          8457276       1408       6006.6      5119       7807  void splitKreduce_kernel<float, float, float>(cublasSplitKParams<float>, float const*, float const*…
     0.0          7986777       2720       2936.3      2624       3776  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0          7052343          1    7052343.0   7052343    7052343  void cudnn::detail::convolveNd_wgrad_engine<float, 3, 128, 6, 7, 3, 3, 5, true>(int, int, int, floa…
     0.0          6819019       1360       5014.0      4735       6784  void gemv2T_kernel_val<int, int, float, float, float, 128, 16, 2, 4, false, cublasGemvParams<cublas…
     0.0          6481412       1360       4765.7      4544       8000  void gemv2T_kernel_val<int, int, float, float, float, 128, 16, 2, 2, false, cublasGemvParams<cublas…
     0.0          4573034       1416       3229.5      2720       5663  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0          4421353       1408       3140.2      2976       5728  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0          4410126       1408       3132.2      2591       5440  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0          4280696       1408       3040.3      2655       6495  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0          4274039       1360       3142.7      2976       7232  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0          3815552         82      46531.1     45024      50654  redzone_checker                                                                                     
     0.0          1091199          2     545599.5    376736     714463  void cudnn::detail::implicit_convolveNd_sgemm<float, 3, 512, 6, 8, 3, 3, 5, 1, true, false, true>(i…
     0.0          1032127          7     147446.7      3424     860223  void tensorflow::functor::ColumnReduceKernel<float const*, float*, cub::Sum>(float const*, float*, …
     0.0           511615          1     511615.0    511615     511615  void cudnn::detail::implicit_convolveNd_sgemm<float, 3, 1024, 6, 7, 3, 3, 5, 1, true, false, true>(…
     0.0           122976         44       2794.9      2688       3520  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0           105952         28       3784.0      2816      21504  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0            73760          8       9220.0      2880      44576  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.0            48928          5       9785.6      3872      25536  cudnn::gemm::computeWgradOffsetsKernel(cudnn::gemm::ComputeOffsetsParams)                           
     0.0            27904          4       6976.0      4480      10176  void tensorflow::functor::CleanupSegments<float*, float*, cub::Sum>(float*, float*, int, int, int, …
     0.0             4448          1       4448.0      4448       4448  void tensorflow::functor::ColumnReduceMax16ColumnsKernel<float const*, float*, cub::Sum>(float cons…
     0.0             3200          1       3200.0      3200       3200  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpumemtimesum.py nsys.923946.r20.w.sqlite]... 

 Time(%)  Total Time (ns)  Operations   Average   Minimum  Maximum       Operation     
 -------  ---------------  ----------  ---------  -------  --------  ------------------
    96.1       8625367308        3098  2784172.8      895  47565891  [CUDA memcpy HtoD]
     3.4        302897100       43507     6962.0     2463    268576  [CUDA memcpy DtoD]
     0.5         42704917       27549     1550.1      895     18176  [CUDA memset]     
