Generating SQLite file nsys.923946.r71.w.sqlite from nsys.923946.r71.w.qdrep
Using nsys.923946.r71.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.923946.r71.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum   Maximum                Name            
 -------  ---------------  ---------  -----------  -------  ----------  ----------------------------
    43.2      37226305115       2090   17811629.2    10666   177321582  cudaEventSynchronize        
    18.6      16080327632     369401      43530.8     9829    72406369  cudaLaunchKernel            
    12.5      10825576889       3072    3523950.8    10984    43003550  cuMemcpyHtoDAsync_v2        
     6.9       5969450906         40  149236272.7     1883  3466864107  cudaFree                    
     6.6       5718990224          8  714873778.0     5924  5718934992  cudaStreamCreateWithFlags   
     2.8       2380933026      33874      70287.9     1084    14579463  cuEventRecord               
     2.4       2060282564        486    4239264.5     9232   121505115  cuModuleUnload              
     1.8       1531004752      43507      35189.8    11357    22746056  cudaMemcpyAsync             
     1.5       1284727166      21856      58781.4      674    42027162  cuEventDestroy_v2           
     0.8        681885190         56   12176521.3     9103   416141530  cuEventSynchronize          
     0.4        385128982      58276       6608.7     1504    17170526  cudaEventRecord             
     0.4        383589275      16540      23191.6     7841     3954852  cudaMemsetAsync             
     0.4        378872913      29360      12904.4     1087    24108468  cuEventQuery                
     0.3        297763207         51    5838494.3    12232   295905467  cuMemAlloc_v2               
     0.2        192543925      10980      17535.9     6822    12275451  cuMemsetD32Async            
     0.2        170816599      10951      15598.3     3121    31900918  cudaBindTexture             
     0.2        163950787       2896      56612.8     9173     4863899  cuCtxSynchronize            
     0.2        139408396       2970      46938.9    12455      336495  cuMemcpyDtoHAsync_v2        
     0.1         63958889      21872       2924.2      712     2007101  cuEventCreate               
     0.1         60450751       6001      10073.4     1471      353363  cuStreamWaitEvent           
     0.1         49841482         37    1347067.1    18865     4397978  cudaMalloc                  
     0.0         42293721      10951       3862.1     1043       39924  cudaUnbindTexture           
     0.0         40928712          5    8185742.4  1677085    27577537  cuMemHostAlloc              
     0.0         30282193       1408      21507.2     8433       84546  cudaEventQuery              
     0.0         26170254         14    1869303.9   648045     2948231  cudaIpcOpenMemHandle        
     0.0         20654859         14    1475347.1   438494     2611114  cudaIpcCloseMemHandle       
     0.0         19805674         24     825236.4    18013     5207258  cudaHostAlloc               
     0.0         15851040         23     689175.7    16335     3799537  cudaFreeHost                
     0.0         10571260         50     211425.2   117143      858330  cuModuleLoadFatBinary       
     0.0          4578188       1162       3939.9     1398       10670  cudaStreamWaitEvent         
     0.0          3240208         10     324020.8     3826     3122925  cuStreamCreate              
     0.0          1648894         82      20108.5    11127       98532  cuLaunchKernel              
     0.0          1356774          5     271354.8     6884     1278057  cudaStreamCreateWithPriority
