Generating SQLite file nsys.923944.r17.w.sqlite from nsys.923944.r17.w.qdrep
Using nsys.923944.r17.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.923944.r17.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum    Maximum                Name            
 -------  ---------------  ---------  -----------  --------  ----------  ----------------------------
    53.0      56586121701       2445   23143608.1      9669   152448514  cudaEventSynchronize        
    16.0      17065994559     369756      46154.7      9618    72177437  cudaLaunchKernel            
    11.2      11972443868       3072    3897279.9      9275    99100620  cuMemcpyHtoDAsync_v2        
     4.5       4784055844          8  598006980.5      4369  4784014275  cudaStreamCreateWithFlags   
     3.2       3431823671         40   85795591.8      1078  2370893240  cudaFree                    
     2.6       2737994336        486    5633733.2      9791   192156785  cuModuleUnload              
     2.3       2490348012      43461      57300.8     11221    42126825  cudaMemcpyAsync             
     2.3       2458611438      33874      72581.1      1078    30275739  cuEventRecord               
     1.4       1456776748      21856      66653.4       731    13154141  cuEventDestroy_v2           
     0.7        699519501         56   12491419.7      9622   424649570  cuEventSynchronize          
     0.6        691269314      39229      17621.4      1090    34450966  cuEventQuery                
     0.4        461987130      58986       7832.1      1848    48824934  cudaEventRecord             
     0.4        421562278      16540      25487.4      7264    12858409  cudaMemsetAsync             
     0.3        287371431         51    5634733.9     16486   285389229  cuMemAlloc_v2               
     0.3        274837478      10980      25030.7      6217    30309005  cuMemsetD32Async            
     0.2        177328504       2896      61232.2      9071     5324970  cuCtxSynchronize            
     0.2        166220332       2970      55966.4     11871     3238011  cuMemcpyDtoHAsync_v2        
     0.1        151626949      10951      13845.9      3062     5212591  cudaBindTexture             
     0.1        101399416      21874       4635.6       901    24434621  cuEventCreate               
     0.1         62027254       6001      10336.2      1430     1489853  cuStreamWaitEvent           
     0.0         50783942         37    1372539.0     12748     6759935  cudaMalloc                  
     0.0         45757229      10951       4178.4      1062     1729619  cudaUnbindTexture           
     0.0         35449110       1408      25176.9      8525      147038  cudaEventQuery              
     0.0         32977296         14    2355521.1    858339     4491279  cudaIpcOpenMemHandle        
     0.0         31911775          1   31911775.0  31911775    31911775  cuMemGetInfo_v2             
     0.0         21980814         14    1570058.1    996200     2220339  cudaIpcCloseMemHandle       
     0.0         20282535         24     845105.6     17427     5081729  cudaHostAlloc               
     0.0         17789841         23     773471.3     17065     4404803  cudaFreeHost                
     0.0         11594681         50     231893.6    181796      953941  cuModuleLoadFatBinary       
     0.0          9268047          4    2317011.8   1112398     3161916  cuMemHostAlloc              
