epoch,loss,lr,mae,time,val_loss,val_mae
0,0.3265846,0.001,0.4854363,31.795071363449097,0.35641447,0.5616333
1,0.28102657,0.0009375,0.44516596,15.35619330406189,0.32684794,0.5308562
2,0.25603324,0.000875,0.41721752,15.367624044418335,0.33384147,0.53936476
3,0.24928232,0.0008125,0.41219902,15.358701467514038,0.32008886,0.5219614
4,0.2408139,0.00075,0.4048684,15.362210988998413,0.32255405,0.52860445
5,0.23728544,0.00075,0.40152875,15.17342209815979,0.31242627,0.5143886
6,0.22582102,0.00075,0.39292622,15.253307580947876,0.29679963,0.47642326
7,0.21971129,0.00075,0.3867956,15.096572399139404,0.32185966,0.51843303
8,0.20959425,0.00075,0.37812272,15.131894826889038,0.28239706,0.47255063
9,0.20190208,0.00075,0.37101808,15.213901281356812,0.27694187,0.45493376
10,0.20621209,0.00075,0.3737998,15.99761962890625,0.28277418,0.45831147
11,0.2025206,0.00075,0.37115216,14.989542484283447,0.2773771,0.4590635
12,0.1929425,0.00075,0.36229864,15.266871929168701,0.2668945,0.4425989
13,0.19368567,0.00075,0.36180878,15.151325941085815,0.27624193,0.4459029
14,0.19031878,0.00075,0.35899782,15.147228956222534,0.29196122,0.4647667
15,0.18867417,0.00075,0.35857642,15.001659631729126,0.281814,0.4584099
