Generating SQLite file nsys.1588226.0.r0.w16.sqlite from nsys.1588226.0.r0.w16.qdrep
Using nsys.1588226.0.r0.w16.sqlite for SQL queries.
Running [/global/common/cori_cle7/software/sles15_cgpu/nsight-systems/2020.5.1/target-linux-x64/reports/cudaapisum.py nsys.1588226.0.r0.w16.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum   Maximum                Name            
 -------  ---------------  ---------  -----------  -------  ----------  ----------------------------
    31.9      18776938555       4641    4045882.0     4075   557370540  cudaMemcpyAsync             
    20.2      11888293821     274662      43283.4     4049    57718055  cudaLaunchKernel            
    16.4       9646474121       1645    5864118.0     2070    79437373  cudaStreamSynchronize       
    10.1       5966469825         16  372904364.1     1732  5956565092  cudaStreamCreateWithFlags   
     9.0       5323313470        227   23450720.1     4937  4394449417  cudaMalloc                  
     6.5       3813348451       3546    1075394.4      461   478655305  cudaEventDestroy            
     2.2       1323688363         68   19466005.3      660  1157873119  cudaFree                    
     1.3        769239308         43   17889286.2     9188   232506078  cudaHostAlloc               
     0.7        427074255      23094      18492.9     2871      631798  cudaMemsetAsync             
     0.4        236688651         13   18206819.3    12824   109415411  cudaDeviceSynchronize       
     0.3        174650714       1155     151212.7     7729     5369085  cudaMemcpy                  
     0.3        158111325     119096       1327.6      567     5105333  cudaEventQuery              
     0.2        118003386         28    4214406.6    13594    30112153  cudaIpcOpenMemHandle        
     0.2        114368840      65270       1752.2      514      393937  cudaEventRecord             
     0.1         70384648         28    2513737.4    10297    12801704  cudaIpcCloseMemHandle       
     0.1         49053916         22    2229723.5     7723    13138828  cudaFreeHost                
     0.0          9601108       1251       7674.7     1942       32110  cudaBindTexture             
     0.0          6339217       3625       1748.7      432      191605  cudaEventCreateWithFlags    
     0.0          4606398       2591       1777.8      761       18727  cudaStreamWaitEvent         
     0.0          1287992       1251       1029.6      471       30661  cudaUnbindTexture           
     0.0          1198641         72      16647.8     1441      324705  cudaStreamCreateWithPriority
     0.0           789182         52      15176.6     3798       41125  cudaMemset                  
     0.0             6218          2       3109.0     1834        4384  cuInit                      

Running [/global/common/cori_cle7/software/sles15_cgpu/nsight-systems/2020.5.1/target-linux-x64/reports/gpukernsum.py nsys.1588226.0.r0.w16.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average    Minimum    Maximum                                                   Name                                                
 -------  ---------------  ---------  ----------  --------  ---------  ----------------------------------------------------------------------------------------------------
    25.9      14686672667        808  18176575.1     34879  476008071  ncclAllReduceTreeLLKernel_sum_f32(ncclColl)                                                         
    13.8       7818375288        135  57913891.0  57872295   61438569  void dgrad2d_grouped_direct_kernel<__half, float, float, true, 0, 3, (cudnnTensorFormat_t)0>(cudnnT…
     5.3       3023465589        432   6998762.9   4301437    8365052  void cudnn::detail::implicit_convolve_sgemm<__half, __half, 512, 6, 8, 3, 3, 5, 1, true, false, fal…
     4.0       2283211356        405   5637558.9   5468404    6662505  void cudnn::detail::wgrad_alg1_engine<__half, 128, 6, 8, 3, 3, 5, true, true>(int, int, int, __half…
     3.8       2156934072      32481     66406.0      1792     483005  void nchwToNhwcKernel<__half, __half, float, true, false>(int, int, int, int, __half const*, __half…
     3.6       2032928414       1116   1821620.4    247358    6158445  void at::native::col2im_kernel<c10::Half, float>(long, c10::Half const*, long, long, long, long, lo…
