Generating SQLite file nsys.1588308.0.r5.w16.sqlite from nsys.1588308.0.r5.w16.qdrep
Using nsys.1588308.0.r5.w16.sqlite for SQL queries.
Running [/global/common/cori_cle7/software/sles15_cgpu/nsight-systems/2020.5.1/target-linux-x64/reports/cudaapisum.py nsys.1588308.0.r5.w16.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum    Maximum                Name            
 -------  ---------------  ---------  -----------  -------  -----------  ----------------------------
    36.5      30925480121       2946   10497447.4     4116  19738450584  cudaMemcpyAsync             
    23.4      19836079260       2349    8444478.2      427  19351165267  cudaEventDestroy            
    15.2      12876657045     181078      71111.1     4118     93734093  cudaLaunchKernel            
    12.8      10895865839       1210    9004847.8     2056    112750244  cudaStreamSynchronize       
     5.7       4835466947        236   20489266.7     4510   3683303793  cudaMalloc                  
     3.2       2740521965         16  171282622.8     1552   2732600309  cudaStreamCreateWithFlags   
     0.7        626619043         56   11189625.8      562    486290737  cudaFree                    
     0.7        593580145         28   21199290.9    11643    113822232  cudaHostAlloc               
     0.5        454480867         11   41316442.5   191240    221952879  cudaDeviceSynchronize       
     0.4        379498418      16090      23586.0     2787      1087666  cudaMemsetAsync             
     0.4        326900280         28   11675010.0    12643     50361058  cudaIpcOpenMemHandle        
     0.1        105727794         28    3775992.6     9836     14243561  cudaIpcCloseMemHandle       
     0.1         99355934      79666       1247.2      558        77492  cudaEventQuery              
     0.1         70871787      43039       1646.7      505       286162  cudaEventRecord             
     0.0         14683205         72     203933.4     1462      4293349  cudaStreamCreateWithPriority
     0.0         13297808         14     949843.4     8388      6650911  cudaFreeHost                
     0.0          6051529        810       7471.0     2029        34761  cudaBindTexture             
     0.0          4538646         21     216126.0     8718      4292059  cudaMemcpy                  
     0.0          3792858       2423       1565.4      399        18044  cudaEventCreateWithFlags    
     0.0          3034751       1722       1762.3      763        19140  cudaStreamWaitEvent         
     0.0           791145        810        976.7      426         8597  cudaUnbindTexture           
     0.0           717665         48      14951.4     3669        39551  cudaMemset                  
     0.0             6791          2       3395.5     1805         4986  cuInit                      

Running [/global/common/cori_cle7/software/sles15_cgpu/nsight-systems/2020.5.1/target-linux-x64/reports/gpukernsum.py nsys.1588308.0.r5.w16.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average    Minimum     Maximum                                                    Name                                                
 -------  ---------------  ---------  ----------  --------  -----------  ----------------------------------------------------------------------------------------------------
    37.9      24259868057        535  45345547.8    517595  19624762031  ncclAllReduceTreeLLKernel_sum_f32(ncclColl)                                                         
    12.2       7831026799         90  87011408.9  86734429     93938935  void dgrad2d_grouped_direct_kernel<__half, float, float, true, 0, 3, (cudnnTensorFormat_t)0>(cudnnT…
     4.8       3094775766        270  11462132.5  11407571     12684101  void cudnn::detail::implicit_convolve_sgemm<__half, __half, 512, 6, 8, 3, 3, 5, 1, true, false, fal…
     3.3       2122242759        270   7860158.4   7413337      9914049  void cudnn::detail::wgrad_alg1_engine<__half, 128, 6, 8, 3, 3, 5, true, true>(int, int, int, __half…
     3.2       2080062507      21600     96299.2      1728       620378  void nchwToNhwcKernel<__half, __half, float, true, false>(int, int, int, int, __half const*, __half…
     3.1       1958229355       1080   1813175.3    246525      5863400  void at::native::col2im_kernel<c10::Half, float>(long, c10::Half const*, long, long, long, long, lo…
     2.4       1550822486       4950    313297.5    261501      1652336  void spatialDepthwiseConvolutionAccGradParameters<c10::Half, float, unsigned int>(THCDeviceTensor<c…
     2.3       1448296799       5850    247572.1    104287      1169941  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_interior_nhwc2nchw_tt_v1                       
     2.2       1429715612       6030    237100.4    123487       838936  volta_fp16_s884cudnn_fp16_256x128_ldg8_relu_filter1x1_stg8_interior_nchw_nn_v1                      
     2.2       1388213343       1440    964037.0    162078      2928836  void cudnn::detail::bn_bw_1C11_kernel_new<__half, float, float2, 512, true, 1>(float, float, float,…
     2.0       1278879774       4770    268109.0    243901       703865  void spatialDepthwiseConvolutionUpdateGradInput<c10::Half, float, unsigned int, 3, 1>(THCDeviceTens…
     1.9       1228628431       5760    213303.5    110335      1093078  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     1.7       1113027709       1080   1030581.2    386812      2233418  void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<__half, float, 512, true, 1>(cudnnTensorStruct, __hal…
     1.6        998094861       9360    106634.1      1119      1579697  void at::native::elementwise_kernel<512, 1, at::native::gpu_kernel_impl<at::native::threshold_kerne…
     1.3        810975933         90   9010843.7   8749996      9891105  void at::native::(anonymous namespace)::upsample_bilinear2d_backward_out_frame<float, float>(unsign…
     1.3        805100383       4950    162646.5    148286       467547  void spatialDepthwiseConvolutionUpdateOutput<c10::Half, float, unsigned int, 3>(THCDeviceTensor<c10…
     1.0        623596200       6210    100418.1     55423       558171  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::copy_kernel_imp…
     1.0        621380535       2160    287676.2     42496       917079  void at::native::im2col_kernel<c10::Half>(long, c10::Half const*, long, long, long, long, long, lon…
     0.9        606130540        180   3367391.9   2266987      4931664  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x256x32x1_1x3x3x0x1                                     
     0.8        501102431        810    618645.0    100351      1467186  volta_fp16_s884gemm_fp16_256x128_ldg8_f2f_tn                                                        
     0.7        460129039        180   2556272.4   2070028      3199297  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_small_nhwc2nchw_tt_v1                          
     0.7        454971674       7290     62410.4      2079       403676  void nhwcToNchwKernel<__half, __half, float, true, false>(int, int, int, int, __half const*, __half…
     0.7        454816069         11  41346915.4    198878    221962695  ncclAllReduceTreeLLKernel_sum_u8(ncclColl)                                                          
     0.7        423836203        180   2354645.6   2072044      2844708  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
     0.7        423169056       3600    117547.0     70079       774105  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::threshold_kerne…
     0.6        407933610       5400     75543.3     26879       227934  void cudnn::detail::bn_bw_1C11_singleread_fp16<512, 1, 2, 7>(float, float, float, float, cudnnTenso…
