Generating SQLite file nsys.1588308.0.r0.w16.sqlite from nsys.1588308.0.r0.w16.qdrep
Using nsys.1588308.0.r0.w16.sqlite for SQL queries.
Running [/global/common/cori_cle7/software/sles15_cgpu/nsight-systems/2020.5.1/target-linux-x64/reports/cudaapisum.py nsys.1588308.0.r0.w16.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum   Maximum                Name            
 -------  ---------------  ---------  -----------  -------  ----------  ----------------------------
    27.3      12208529174     181079      67421.0     3965    96150884  cudaLaunchKernel            
    25.5      11418955271       2949    3872144.9     4214   255299916  cudaMemcpyAsync             
    24.4      10890113947       1213    8977835.1     2097   114771864  cudaStreamSynchronize       
    10.8       4826262133        248   19460734.4     5088  3671021983  cudaMalloc                  
     6.2       2749079986         16  171817499.1     1705  2741846882  cudaStreamCreateWithFlags   
     1.5        651380779         68    9579129.1      552   520696042  cudaFree                    
     1.3        599929785         36   16664716.3    10959   147741298  cudaHostAlloc               
     0.8        363972920      16090      22621.1     2833     2334849  cudaMemsetAsync             
     0.6        279253112       2349     118881.7      473    88013299  cudaEventDestroy            
     0.6        275626194         28    9843792.6    16604    35675430  cudaIpcOpenMemHandle        
     0.3        141362257         11   12851114.3    13096    72557364  cudaDeviceSynchronize       
     0.2        105437226      79663       1323.5      574      109987  cudaEventQuery              
     0.2         75177823      43039       1746.7      521      409535  cudaEventRecord             
     0.1         50911124         28    1818254.4    10302    12790198  cudaIpcCloseMemHandle       
     0.1         33058915         22    1502678.0     8011    13857472  cudaFreeHost                
     0.0          6319653        810       7802.0     2376       25711  cudaBindTexture             
     0.0          4353105         72      60459.8     1608     1333078  cudaStreamCreateWithPriority
     0.0          4178162       2423       1724.4      450       12467  cudaEventCreateWithFlags    
     0.0          4159188         21     198056.6     8402     3897503  cudaMemcpy                  
     0.0          3227511       1722       1874.3      782       20031  cudaStreamWaitEvent         
     0.0           875465         52      16835.9     4178       40197  cudaMemset                  
     0.0           825503        810       1019.1      456        6132  cudaUnbindTexture           
     0.0             9845          2       4922.5     1975        7870  cuInit                      

Running [/global/common/cori_cle7/software/sles15_cgpu/nsight-systems/2020.5.1/target-linux-x64/reports/gpukernsum.py nsys.1588308.0.r0.w16.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average    Minimum    Maximum                                                   Name                                                
 -------  ---------------  ---------  ----------  --------  ---------  ----------------------------------------------------------------------------------------------------
    17.7       7823591757         90  86928797.3  86736711   96348251  void dgrad2d_grouped_direct_kernel<__half, float, float, true, 0, 3, (cudnnTensorFormat_t)0>(cudnnT…
    10.7       4707504579        535   8799074.0    435740  174055531  ncclAllReduceTreeLLKernel_sum_f32(ncclColl)                                                         
     7.0       3095640049        270  11465333.5  11401797   13356661  void cudnn::detail::implicit_convolve_sgemm<__half, __half, 512, 6, 8, 3, 3, 5, 1, true, false, fal…
     4.8       2111157154        270   7819100.6   7422724    9791825  void cudnn::detail::wgrad_alg1_engine<__half, 128, 6, 8, 3, 3, 5, true, true>(int, int, int, __half…
     4.8       2095881556      21600     97031.6      1856     615675  void nchwToNhwcKernel<__half, __half, float, true, false>(int, int, int, int, __half const*, __half…
     4.5       1965030371       1080   1819472.6    247486    6155215  void at::native::col2im_kernel<c10::Half, float>(long, c10::Half const*, long, long, long, long, lo…
     3.5       1551224741       4950    313378.7    261214    1416532  void spatialDepthwiseConvolutionAccGradParameters<c10::Half, float, unsigned int>(THCDeviceTensor<c…
     3.3       1444812145       5850    246976.4    103583    1182103  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_interior_nhwc2nchw_tt_v1                       
     3.2       1424001774       6030    236152.9    123999     881113  volta_fp16_s884cudnn_fp16_256x128_ldg8_relu_filter1x1_stg8_interior_nchw_nn_v1                      
     3.2       1390560918       1440    965667.3    162527    2962120  void cudnn::detail::bn_bw_1C11_kernel_new<__half, float, float2, 512, true, 1>(float, float, float,…
     2.9       1277188901       4770    267754.5    243742     703547  void spatialDepthwiseConvolutionUpdateGradInput<c10::Half, float, unsigned int, 3, 1>(THCDeviceTens…
     2.8       1223041234       5760    212333.5    110591    1122263  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     2.5       1112482610       1080   1030076.5    386301    2301102  void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<__half, float, 512, true, 1>(cudnnTensorStruct, __hal…
     2.3       1000274371       9360    106866.9      1119    1601843  void at::native::elementwise_kernel<512, 1, at::native::gpu_kernel_impl<at::native::threshold_kerne…
     1.8        811366099         90   9015178.9   8725754   10438924  void at::native::(anonymous namespace)::upsample_bilinear2d_backward_out_frame<float, float>(unsign…
     1.8        805929251       4950    162814.0    148383     488092  void spatialDepthwiseConvolutionUpdateOutput<c10::Half, float, unsigned int, 3>(THCDeviceTensor<c10…
     1.4        625416200       6210    100711.1     55616     566396  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::copy_kernel_imp…
     1.4        621807388       2160    287873.8     42400     957561  void at::native::im2col_kernel<c10::Half>(long, c10::Half const*, long, long, long, long, long, lon…
     1.4        605459309        180   3363662.8   2264718    5203638  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x256x32x1_1x3x3x0x1                                     
     1.1        500847969        810    618330.8    100351    1505460  volta_fp16_s884gemm_fp16_256x128_ldg8_f2f_tn                                                        
     1.0        456818517       7290     62663.7      1792     406845  void nhwcToNchwKernel<__half, __half, float, true, false>(int, int, int, int, __half const*, __half…
     1.0        456670392        180   2537057.7   2043727    3337158  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_small_nhwc2nchw_tt_v1                          
     1.0        427237914       3600    118677.2     70111     792922  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::threshold_kerne…
     1.0        419672855        180   2331515.9   2051599    2991944  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
     0.9        410518228       5400     76021.9     26656     231646  void cudnn::detail::bn_bw_1C11_singleread_fp16<512, 1, 2, 7>(float, float, float, float, cudnnTenso…
     0.8        361422113        630    573685.9    161599    1367381  void wgrad2d_shmem_tiling_kernel<__half, float, (cudnnTensorFormat_t)0, 8, 6, 80, 5, 3, 3, 1, 1, 1,…
     0.8        353386571        180   1963258.7   1309269    2885033  void spatialDepthwiseConvolutionUpdateGradInput<c10::Half, float, unsigned int, 3, 2>(THCDeviceTens…
     0.8        333592517        540    617763.9    253054    1091223  volta_fp16_s884gemm_fp16_128x256_ldg8_f2f_nt                                                        
     0.6        286132967       5400     52987.6     16960     139199  void cudnn::detail::bn_fw_tr_1C11_singleread_fp16<512, 1, 2, 10>(cudnnTensorStruct, __half2 const*,…
     0.6        268519597        540    497258.5    243550     843001  volta_fp16_s884gemm_fp16_128x256_ldg8_f2f_nn                                                        
     0.6        254984833        810    314796.1    101343     927801  void multi_tensor_apply_kernel<TensorListMetadata<4>, LAMBStage1Functor<float>, float, float, float…
     0.5        233197680         90   2591085.3   2572555    3834977  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
     0.5        223848257       6390     35031.0      1055     276798  void at::native::elementwise_kernel<512, 1, at::native::gpu_kernel_impl<at::native::fill_kernel_cud…
     0.5        214624382       1258    170607.6     39007     792537  void multi_tensor_apply_kernel<TensorListMetadata<2>, ScaleFunctor<float, float>, float>(int, int v…
     0.5        198601305       2250     88267.2     58463     202174  void at::native::elementwise_kernel<512, 1, at::native::gpu_kernel_impl<at::native::add_kernel_cuda…
     0.4        188599033        270    698514.9    692570     772314  volta_fp16_sgemm_fp16_32x32_sliced1x4_tn                                                            
     0.4        172840636         90   1920451.5   1902385    2044592  void cudnn::detail::dgrad_engine<__half, 128, 6, 8, 3, 3, 5, true>(int, int, int, __half const*, in…
     0.4        154919531        630    245904.0     70784     630107  void dgrad2d_c1_k1_nchw_shmem_tiling_kernel<__half, float, 3, 3, 1, 1, 4, 4, 10, 40, 8, true, true>…
     0.3        151102660       1800     83945.9     59296     339517  void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl<at::native::add_kernel_cuda…
     0.3        144147308        630    228805.3     69760     577883  void conv2d_c1_k1_nchw_shmem_tiling_kernel<__half, float, 3, 3, 1, 1, 4, 4, 10, 40, 8, true, true>(…
     0.3        141853580         11  12895780.0     36800   72617177  ncclAllReduceTreeLLKernel_sum_u8(ncclColl)                                                          
     0.3        134162993        270    496900.0    488060     576156  volta_fp16_sgemm_fp16_128x64_nt                                                                     
     0.2        104011973         90   1155688.6   1090392    1305846  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_medium_nhwc2nchw_tt_v1                         
