Generating SQLite file nsys.889378.r0.w.sqlite from nsys.889378.r0.w.qdrep
Using nsys.889378.r0.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.889378.r0.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum   Maximum                Name            
 -------  ---------------  ---------  -----------  -------  ----------  ----------------------------
    32.8      18585100807       5799    3204880.3     8304   587138257  cudaMemcpyAsync             
    20.1      11362658292     389857      29145.7     8906    42467997  cudaLaunchKernel            
    11.3       6398685372       2212    2892714.9     5941   273682851  cudaStreamSynchronize       
    10.7       6083623722        201   30266784.7    10410  4724344268  cudaMalloc                  
    10.5       5921620108       4757    1244822.4      953   570167028  cudaEventDestroy            
     7.6       4287796194         16  267987262.1     3501  4287710177  cudaStreamCreateWithFlags   
     2.4       1358882108         26   52264696.5      861   774043107  cudaFree                    
     1.5        877516043     165298       5308.7     1517     7226423  cudaEventQuery              
     0.9        490305024         26   18857885.5    19390   178423284  cudaHostAlloc               
     0.7        387364781      86819       4461.8     1570      883146  cudaEventRecord             
     0.7        383783873      17171      22350.7     7012      457669  cudaMemsetAsync             
     0.4        203467162         21    9688912.5     7801   195146779  cudaDeviceSynchronize       
     0.2        122279846         18    6793324.8  1732515    18379552  cudaIpcOpenMemHandle        
     0.1         81535576       1162      70168.3    13877     1713196  cudaMemcpy                  
     0.0         28216375       4825       5848.0     1031       38065  cudaEventCreateWithFlags    
     0.0         26320608       1668      15779.7     3785      154492  cudaBindTexture             
     0.0         21661541       3446       6286.0     2119       47877  cudaStreamWaitEvent         
     0.0          9433638         72     131022.8     3679     2861286  cudaStreamCreateWithPriority
     0.0          6099829       1668       3657.0     1098       26860  cudaUnbindTexture           
     0.0           552298         28      19724.9     8784       38777  cudaMemset                  
     0.0             7339          4       1834.8     1265        2433  cuInit                      

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.889378.r0.w.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average    Minimum    Maximum                                                   Name                                                
 -------  ---------------  ---------  ----------  --------  ---------  ----------------------------------------------------------------------------------------------------
    31.0      25080427932       1077  23287305.4     10848  547945562  ncclAllReduceRingLLKernel_sum_f32(ncclColl)                                                         
    12.5      10104422373        180  56135679.9  56036808   62566372  void dgrad2d_grouped_direct_kernel<__half, float, float, true, 0, 3, (cudnnTensorFormat_t)0>(cudnnT…
     4.8       3847598055        576   6679857.7   3880489    8014793  void cudnn::detail::implicit_convolve_sgemm<__half, __half, 512, 6, 8, 3, 3, 5, 1, true, false, fal…
     3.6       2927637575        540   5421551.1   5220284    5815224  void cudnn::detail::wgrad_alg1_engine<__half, 128, 6, 8, 3, 3, 5, true, true>(int, int, int, __half…
     3.5       2840943225      43308     65598.6      3744     436318  void nchwToNhwcKernel<__half, __half, float, true, false>(int, int, int, int, __half const*, __half…
     3.4       2751420227       1488   1849072.7    252286    6249277  void at::native::col2im_kernel<c10::Half, float>(long, c10::Half const*, long, long, long, long, lo…
     2.7       2179572097       9900    220158.8    187454    1331928  void spatialDepthwiseConvolutionAccGradParameters<c10::Half, float, unsigned int>(THCDeviceTensor<c…
     2.6       2133273292       2880    740719.9    121728    2156529  void cudnn::detail::bn_bw_1C11_kernel_new<__half, float, float2, 512, true, 1>(float, float, float,…
     2.6       2125250191      12864    165209.1     47776     593501  volta_fp16_s884cudnn_fp16_256x128_ldg8_relu_filter1x1_stg8_interior_nchw_nn_v1                      
     2.6       2083745036       2160    964696.8    380252    2130481  void cudnn::detail::bn_fw_tr_1C11_kernel_NCHW<__half, float, 512, true, 1>(cudnnTensorStruct, __hal…
     2.4       1977186059      11700    168990.3     76863     865786  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_interior_nhwc2nchw_tt_v1                       
     2.1       1732838525       9540    181639.3    163967     468190  void spatialDepthwiseConvolutionUpdateGradInput<c10::Half, float, unsigned int, 3, 1>(THCDeviceTens…
     2.0       1646642050      11520    142937.7     89215     793019  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     2.0       1624575174      26424     61481.0      2656     807834  void at::native::vectorized_elementwise_kernel<4, at::native::threshold_kernel_impl<c10::Half>(at::…
     1.8       1422799529      23436     60710.0     20511     425053  void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator&,…
     1.6       1310005279       2880    454862.9     69055    1530806  void at::native::im2col_kernel<c10::Half>(long, c10::Half const*, long, long, long, long, long, lon…
     1.4       1127458672      10560    106766.9     52447     327934  void spatialDepthwiseConvolutionUpdateOutput<c10::Half, float, unsigned int, 3>(THCDeviceTensor<c10…
     1.4       1094514365        180   6080635.4   5818175    7001433  void at::native::(anonymous namespace)::upsample_bilinear2d_backward_out_frame<float, float>(unsign…
     1.0        828826737      14628     56660.3      3648     313309  void nhwcToNchwKernel<__half, __half, float, true, false>(int, int, int, int, __half const*, __half…
     1.0        815543291        360   2265398.0   1524181    3504424  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x256x32x1_1x3x3x0x1                                     
     0.9        739311918       1260    586755.5    164959    1601271  void wgrad2d_shmem_tiling_kernel<__half, float, (cudnnTensorFormat_t)0, 8, 6, 80, 5, 3, 3, 1, 1, 1,…
     0.8        664090985      24204     27437.2      2560     369405  void at::native::vectorized_elementwise_kernel<4, at::native::fill_kernel_cuda(at::TensorIterator&,…
     0.8        607441403        360   1687337.2   1351385    2255956  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_small_nhwc2nchw_tt_v1                          
     0.7        582459166      10800     53931.4     20064     147551  void cudnn::detail::bn_bw_1C11_singleread_fp16<512, 1, 2, 0>(float, float, float, float, cudnnTenso…
     0.7        577963219        384   1505112.5    686971    2004114  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
     0.6        484142760        360   1344841.0    874298    1840438  void spatialDepthwiseConvolutionUpdateGradInput<c10::Half, float, unsigned int, 3, 2>(THCDeviceTens…
     0.6        468159406        720    650221.4    248798    1099577  volta_fp16_s884gemm_fp16_128x256_ldg8_f2f_tn                                                        
     0.6        453334983       8340     54356.7     20928     235966  void at::native::vectorized_elementwise_kernel<4, at::native::add_kernel_cuda(at::TensorIterator&, …
     0.5        416875172       1116    373544.1     62943     938682  volta_fp16_s884gemm_fp16_128x128_ldg8_f2f_nt                                                        
     0.5        402873679      10800     37303.1     12671      96510  void cudnn::detail::bn_fw_tr_1C11_singleread_fp16<512, 1, 2, 0>(cudnnTensorStruct, __half2 const*, …
     0.5        376202989       1080    348336.1     69312     824409  volta_fp16_s884gemm_fp16_256x128_ldg8_f2f_nn                                                        
     0.5        371663664       1620    229422.0     33472     725562  void multi_tensor_apply_kernel<TensorListMetadata<4>, LAMBStage1Functor<float>, float, float, float…
     0.4        313172242        180   1739845.8   1732150    1849877  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
     0.3        282828892          3  94276297.3      6912  282813052  ncclBroadcastRingLLKernel_copy_i8(ncclColl)                                                         
