Using nsys.742961.r15.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.742961.r15.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum   Maximum                Name            
 -------  ---------------  ---------  -----------  -------  ----------  ----------------------------
    48.3      25536439021       3439    7425542.0    10673    62880693  cudaEventSynchronize        
    11.0       5820700118          8  727587514.8     3388  5820670334  cudaStreamCreateWithFlags   
     8.2       4357637980     464889       9373.5     5256   176944852  cuMemcpyHtoDAsync_v2        
     5.2       2743597645     163279      16803.1     8133     2958827  cuLaunchKernel              
     4.6       2444010706     156469      15619.8     9292      860551  cudaLaunchKernel            
     3.6       1893247883       1335    1418163.2     9141   106505469  cuModuleUnload              
     3.4       1816082143         60   30268035.7      983  1098347304  cudaFree                    
     3.3       1728942717    1005550       1719.4      901    29164259  cuEventQuery                
     2.6       1359868537        890    1527942.2     8252  1349474446  cuMemAlloc_v2               
     2.0       1056089568      67074      15745.1    11677      655239  cudaMemcpyAsync             
     1.5        786960740      81177       9694.4     3707     1996611  cuMemsetD32Async            
     1.1        560635240        354    1583715.4    48292    11859551  cuEventSynchronize          
     1.0        507998949      13610      37325.4     6758   340780486  cudaMemsetAsync             
     0.8        436430773        899     485462.5    99537    46923292  cuModuleLoadFatBinary       
     0.6        291085578          9   32342842.0  5289502   189260806  cuMemHostAlloc              
     0.5        287325389      74458       3858.9     1609     1344855  cudaEventRecord             
     0.5        261556325      34566       7566.9      592     1627743  cuEventDestroy_v2           
     0.4        227507323         32    7109603.8    17078    19871407  cudaIpcOpenMemHandle        
     0.4        211041566      82696       2552.0      817     1391363  cuEventRecord               
     0.4        198644475       5009      39657.5     6630     1185087  cuMemcpyDtoHAsync_v2        
     0.2         86377699         60    1439628.3     7312     8888052  cudaMalloc                  
     0.1         68979812         32    2155619.1    24265    17140215  cudaIpcCloseMemHandle       
     0.1         63645888      29961       2124.3      816     1268832  cuStreamWaitEvent           
     0.1         43588131      34588       1260.2      725       65398  cuEventCreate               
     0.0         18265412        923      19789.2    12117       71130  cuMemcpyDtoDAsync_v2        
     0.0         13687519        889      15396.5    12970      305636  cuMemFree_v2                
     0.0         10799440       1758       6143.0     4625       45993  cuStreamSynchronize         
     0.0          4825757        313      15417.8     9708       49840  cuCtxSynchronize            
     0.0          1895599         10     189559.9     3332     1829642  cuStreamCreate              
     0.0          1445675         11     131425.0    14581      732445  cudaHostAlloc               
     0.0          1223588        194       6307.2     3418       26626  cudaBindTexture             
     0.0           908814         50      18176.3     8282       53000  cudaMemset                  
     0.0           900530          2     450265.0   191621      708909  cuMemGetInfo_v2             
     0.0           434547         20      21727.4    15700       55850  cudaMemcpy                  
     0.0           391662         58       6752.8     6267       10414  cudaEventQuery              
     0.0           330997         10      33099.7    20200      114816  cudaFreeHost                
     0.0           320886        194       1654.1     1069        3250  cudaUnbindTexture           
     0.0           101895         60       1698.3     1080        5014  cudaEventCreateWithFlags    
     0.0            77156          5      15431.2     3226       62965  cudaStreamCreateWithPriority
