Using nsys.742961.r33.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.742961.r33.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average     Minimum    Maximum                Name            
 -------  ---------------  ---------  ------------  -------  -----------  ----------------------------
    44.2      25095992862       3439     7297468.1    14679     63153515  cudaEventSynchronize        
    18.0      10210468723          8  1276308590.4     3404  10210439232  cudaStreamCreateWithFlags   
     7.9       4463757970     464889        9601.8     5328    294604994  cuMemcpyHtoDAsync_v2        
     4.8       2723228444     163279       16678.4     8042     13962862  cuLaunchKernel              
     4.3       2441230529     156469       15602.0     9221      1580581  cudaLaunchKernel            
     3.5       1958894001       1335     1467336.3     9301    119173640  cuModuleUnload              
     3.1       1763023316    1029229        1713.0      939     41336955  cuEventQuery                
     2.9       1630385507         60    27173091.8     1008   1054009017  cudaFree                    
     2.4       1357409131        890     1525178.8     8467   1346873408  cuMemAlloc_v2               
     1.9       1059439985      67076       15794.6    11718       410301  cudaMemcpyAsync             
     1.4        796784434      81177        9815.4     3824      1143770  cuMemsetD32Async            
     1.0        561271994        354     1585514.1    50063     11874076  cuEventSynchronize          
     0.9        538662612      13610       39578.4     6820    368800853  cudaMemsetAsync             
     0.8        444872489        899      494852.6   100079     54281923  cuModuleLoadFatBinary       
     0.6        337581536          9    37509059.6  4469229    245108650  cuMemHostAlloc              
     0.5        279383618      74458        3752.2     1564      1093212  cudaEventRecord             
     0.5        271048086      34566        7841.5      590      1456541  cuEventDestroy_v2           
     0.4        201268066      82696        2433.8      807      1106104  cuEventRecord               
     0.3        197076581       5009       39344.5     6406      1177920  cuMemcpyDtoHAsync_v2        
     0.3        152332769         32     4760399.0    16632     14751071  cudaIpcOpenMemHandle        
     0.1         60941246      29961        2034.0      830       223108  cuStreamWaitEvent           
     0.1         52309221         10     5230922.1    18817     38530256  cudaFreeHost                
