Using nsys.742961.r64.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.742961.r64.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average     Minimum   Maximum                Name            
 -------  ---------------  ---------  ------------  -------  ----------  ----------------------------
    45.7      26051341807       3439     7575266.6    14599    63108934  cudaEventSynchronize        
    16.1       9198108572          8  1149763571.5     3436  9198079797  cudaStreamCreateWithFlags   
     7.5       4262591800     464889        9169.1     5279   257509804  cuMemcpyHtoDAsync_v2        
     4.8       2752450970     163279       16857.3     8527     6957815  cuLaunchKernel              
     4.4       2533038186     156469       16188.8     9226      653664  cudaLaunchKernel            
     3.7       2084935908       1335     1561749.7     9072   111123899  cuModuleUnload              
     3.3       1866037176         60    31100619.6      910  1248562721  cudaFree                    
     3.2       1811954872    1019274        1777.7      969    31031732  cuEventQuery                
     1.8       1038043544      67074       15476.1    11702      638774  cudaMemcpyAsync             
     1.4        826871811        890      929069.5     8476   816247987  cuMemAlloc_v2               
     1.4        784557287      81177        9664.8     3792     1777762  cuMemsetD32Async            
     1.3        737445612          9    81938401.3  5476296   462290696  cuMemHostAlloc              
     1.0        562626307        354     1589339.9    50010    11872008  cuEventSynchronize          
     0.8        467794460      13610       34371.4     6773   290003341  cudaMemsetAsync             
     0.8        453470119        899      504416.2    99328    49956911  cuModuleLoadFatBinary       
     0.5        312172631         32     9755394.7    17226    25651661  cudaIpcOpenMemHandle        
     0.5        285141748      74458        3829.6     1569      865804  cudaEventRecord             
     0.5        262332732      34566        7589.3      582     1543796  cuEventDestroy_v2           
     0.4        206732434      82696        2499.9      818      714675  cuEventRecord               
     0.3        197940465       5009       39517.0     6139     1187074  cuMemcpyDtoHAsync_v2        
     0.2        107979413         60     1799656.9     8178     8734789  cudaMalloc                  
     0.1         60396184      29961        2015.8      830      133816  cuStreamWaitEvent           
     0.1         46393967         32     1449811.5    24666    17040575  cudaIpcCloseMemHandle       
     0.1         45420624      34588        1313.2      697       30558  cuEventCreate               
     0.0         28062698         10     2806269.8    18716    27569265  cudaFreeHost                
     0.0         19387706        923       21005.1    12245       71095  cuMemcpyDtoDAsync_v2        
     0.0         13282798        889       14941.3    12933      281560  cuMemFree_v2                
     0.0         10600922       1758        6030.1     4682       15372  cuStreamSynchronize         
     0.0          6179912        313       19744.1     9441       48817  cuCtxSynchronize            
     0.0          3369803         11      306345.7    14660     2488495  cudaHostAlloc               
     0.0          1200456        194        6187.9     3193       29270  cudaBindTexture             
     0.0           884042         50       17680.8     8289       53639  cudaMemset                  
     0.0           646537          2      323268.5   188641      457896  cuMemGetInfo_v2             
     0.0           596349         10       59634.9     3717      531688  cuStreamCreate              
     0.0           387023         20       19351.2    15025       45895  cudaMemcpy                  
     0.0           378981         58        6534.2     6091        8500  cudaEventQuery              
     0.0           320048        194        1649.7     1098        5687  cudaUnbindTexture           
     0.0           106591         60        1776.5     1103        7273  cudaEventCreateWithFlags    
     0.0            68456          5       13691.2     3400       53541  cudaStreamCreateWithPriority
     0.0            45454          2       22727.0    19415       26039  cuMemsetD32_v2              
     0.0            28079          1       28079.0    28079       28079  cudaStreamSynchronize       
     0.0             6783          1        6783.0     6783        6783  cudaStreamWaitEvent         
     0.0             6430          4        1607.5     1430        1729  cuInit                      
     0.0             3728          1        3728.0     3728        3728  cudaEventDestroy            

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.742961.r64.w.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average   Minimum  Maximum                                                   Name                                                
 -------  ---------------  ---------  ---------  -------  --------  ----------------------------------------------------------------------------------------------------
