Using nsys.742215.r1.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.742215.r1.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum    Maximum                Name            
 -------  ---------------  ---------  -----------  --------  ----------  ----------------------------
    33.2     108011929731      53369    2023870.2      8272    63523790  cudaEventSynchronize        
    13.9      45162844184    2547025      17731.6      8142    46212233  cuLaunchKernel              
    12.6      41115013201    2477447      16595.7      9148    35937016  cudaLaunchKernel            
    11.3      36807410517   21760937       1691.4       914    35266012  cuEventQuery                
     6.0      19614032852    1263681      15521.3      3745   716779788  cuMemsetD32Async            
     5.8      18877665654    1140597      16550.7      5871   851911662  cuMemcpyHtoDAsync_v2        
     5.5      18036196525    1044277      17271.5     11984    16843869  cudaMemcpyAsync             
     2.6       8447881924     538174      15697.3       570    17690949  cuEventDestroy_v2           
     1.9       6082374878    1162766       5231.0      1551    23995374  cudaEventRecord             
     1.5       5033266011         28  179759500.4       918  4115138175  cudaFree                    
     1.3       4109358424          8  513669803.0      3309  4109329509  cudaStreamCreateWithFlags   
     1.2       3802289354     213802      17784.2      6717   439043881  cudaMemsetAsync             
     0.8       2624890759       1335    1966210.3      9318   123833178  cuModuleUnload              
     0.7       2316277500    1143868       2025.0       804    20165769  cuEventRecord               
     0.3       1099159856          9  122128872.9    975326  1017347932  cuMemHostAlloc              
     0.3        835654231     538196       1552.7       691    10632810  cuEventCreate               
     0.2        698703041     396357       1762.8       813      437562  cuStreamWaitEvent           
     0.2        560563502        354    1583512.7     49746    11871298  cuEventSynchronize          
     0.2        548953227        890     616801.4      8007   538887897  cuMemAlloc_v2               
     0.1        432646699        899     481253.3    100434    45665475  cuModuleLoadFatBinary       
     0.1        429005422      14693      29197.9      6191    13199399  cuMemcpyDtoHAsync_v2        
     0.1        274487708      13525      20294.8     12096     2604253  cuMemcpyDtoDAsync_v2        
     0.0         94735155          8   11841894.4     18717    32013487  cudaIpcOpenMemHandle        
     0.0         58755519       3501      16782.5      9704       76278  cuCtxSynchronize            
     0.0         41666716          8    5208339.5     25749    19198407  cudaIpcCloseMemHandle       
     0.0         30070943         28    1073962.3      7679     8814911  cudaMalloc                  
     0.0         21873813          1   21873813.0  21873813    21873813  cudaEventDestroy            
     0.0         13025471        889      14651.8     12579      324050  cuMemFree_v2                
     0.0         10474150       1758       5958.0      4574       74059  cuStreamSynchronize         
     0.0          3604527          7     514932.4     13544     2999404  cudaHostAlloc               
     0.0          3184194         12     265349.5     14847     2986425  cudaMemcpy                  
     0.0          1236574        194       6374.1      3586       38344  cudaBindTexture             
     0.0           619622         10      61962.2      3820      550015  cuStreamCreate              
     0.0           473714          2     236857.0    184637      289077  cuMemGetInfo_v2             
     0.0           386542         58       6664.5      5935       10305  cudaEventQuery              
     0.0           319137        194       1645.0      1133        3881  cudaUnbindTexture           
     0.0           251505         18      13972.5      8177       30926  cudaMemset                  
     0.0           234427          6      39071.2     20542       75531  cudaFreeHost                
     0.0           124551         62       2008.9      1047        9231  cudaEventCreateWithFlags    
     0.0           124064          5      24812.8      3291      109832  cudaStreamCreateWithPriority
     0.0            58163          2      29081.5     24028       34135  cuMemsetD32_v2              
     0.0            28086          1      28086.0     28086       28086  cudaStreamSynchronize       
     0.0             5874          4       1468.5      1077        1793  cuInit                      
     0.0             3080          1       3080.0      3080        3080  cudaStreamWaitEvent         

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.742215.r1.w.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average   Minimum  Maximum                                                   Name                                                
 -------  ---------------  ---------  ---------  -------  --------  ----------------------------------------------------------------------------------------------------
    16.1      60982893771      53369  1142665.1    12256  63828245  ncclAllReduceRingLLKernel_sum_f32(ncclColl)                                                         
     8.3      31369360354     113505   276369.9   179968    588094  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x32x1_1x1x1x0x1                                     
     5.5      20894840102      80121   260791.1   170591    422207  volta_s884cudnn_fp16_128x128_ldg8_wgrad_idx_exp_interior_nhwc_nt                                    
     5.0      18802798787      43400   433244.2   320607    794013  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_small_nhwc_tt_v1                               
     4.2      15751546833      80119   196601.9   166495    375199  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     3.7      14115717293      46737   302024.5   203008    464223  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     2.7      10082421724      30046   335566.2   316991    426015  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
     1.9       7145967378      20030   356763.2   345376    398751  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_64x32x64x1_1x1x1x0x1                                       
     1.4       5328052439       3304  1612606.7  1595163   1653947  fusion_238                                                                                          
     1.4       5327038129       3304  1612299.7  1538524   1818555  select_and_scatter_4351                                                                             
     1.4       5316782468      10017   530775.9   317183    705694  volta_fp16_s884cudnn_fp16_256x128_ldg8_relu_f2f_exp_interior_nhwc_tn_v1                             
     1.4       5171599737      10017   516282.3   385151    636350  dgrad_1x1_stride_2x2                                                                                
     1.3       4811502356       3304  1456265.8  1415164   1549212  fusion_237                                                                                          
     1.3       4790200579      10015   478302.6   459647    546814  volta_s884cudnn_fp16_64x64_sliced1x4_ldg8_wgrad_idx_exp_interior_nhwc_nt                            
     1.2       4389758342       3338  1315086.4   248063   1364763  fusion_269                                                                                          
     1.2       4369869309       6676   654564.0     5888   1350843  fusion_254                                                                                          
     1.1       4146542362      10015   414033.2   396863    486174  volta_fp16_s884cudnn_fp16_256x64_ldg8_relu_f2f_exp_small_nhwc_tn_v1                                 
