Generating SQLite file nsys.743827.r40.w.sqlite from nsys.743827.r40.w.qdrep
Using nsys.743827.r40.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.743827.r40.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average     Minimum    Maximum                Name            
 -------  ---------------  ---------  ------------  -------  -----------  ----------------------------
    46.9      39768643177       6804     5844891.7    10869     63558883  cudaEventSynchronize        
    13.7      11633270655          8  1454158831.9     3439  11633241729  cudaStreamCreateWithFlags   
     6.4       5433654236     321789       16885.8     8095     29401974  cuLaunchKernel              
     5.8       4894753825     509821        9600.9     5415    298733508  cuMemcpyHtoDAsync_v2        
     5.8       4887919900     310850       15724.4     9156      1718076  cudaLaunchKernel            
     4.5       3790003487    2185643        1734.0      980     33792549  cuEventQuery                
     2.8       2342186567       1335     1754446.9     8789    132605433  cuModuleUnload              
     2.6       2227796165     159809       13940.4     3773    404535830  cuMemsetD32Async            
     2.5       2121974103     132186       16052.9    11800      6098208  cudaMemcpyAsync             
     2.4       2025584178         60    33759736.3      961   1408432981  cudaFree                    
     1.4       1156908780          9   128545420.0  4432514   1067563187  cuMemHostAlloc              
     1.1        927054225      26922       34434.8     6904    356928159  cudaMemsetAsync             
     0.7        625729821      68054        9194.6      586      6153544  cuEventDestroy_v2           
     0.7        574743791     146916        3912.1     1582      2890500  cudaEventRecord             
     0.7        561923667        354     1587355.0    27432     11918361  cuEventSynchronize          
     0.5        448641900        899      499045.5    97158     44602621  cuModuleLoadFatBinary       
     0.3        283032244     153260        1846.7      820      1682234  cuEventRecord               
     0.3        281846594        890      316681.6     8342    270631668  cuMemAlloc_v2               
     0.2        209414553         32     6544204.8    16874     45840316  cudaIpcOpenMemHandle        
     0.2        209216206       5653       37009.8     6143      1131362  cuMemcpyDtoHAsync_v2        
     0.1        101509995      54325        1868.6      820       652747  cuStreamWaitEvent           
     0.1         85962050      68076        1262.7      734       728175  cuEventCreate               
     0.1         60975356         60     1016255.9     7220      6948421  cudaMalloc                  
     0.0         36001921       1761       20444.0    12012        83725  cuMemcpyDtoDAsync_v2        
     0.0         19142847         32      598214.0    23391      1735576  cudaIpcCloseMemHandle       
     0.0         15031543        889       16908.4    12737       329726  cuMemFree_v2                
     0.0         11881058       1758        6758.3     4533        54642  cuStreamSynchronize         
     0.0          8384365        525       15970.2     9714        51863  cuCtxSynchronize            
     0.0          1413629         11      128511.7    13716       698483  cudaHostAlloc               
     0.0          1316640        194        6786.8     3509        44409  cudaBindTexture             
     0.0           859740         50       17194.8     7898        35548  cudaMemset                  
     0.0           697443          2      348721.5   230266       467177  cuMemGetInfo_v2             
     0.0           683125         10       68312.5     3673       615945  cuStreamCreate              
     0.0           471654         58        8132.0     6281        11624  cudaEventQuery              
     0.0           367552         20       18377.6    14312        37063  cudaMemcpy                  
     0.0           339223        194        1748.6     1090         3578  cudaUnbindTexture           
     0.0           323088         10       32308.8    18499       121663  cudaFreeHost                
     0.0           215350          5       43070.0     3384       201435  cudaStreamCreateWithPriority
     0.0            93004         57        1631.6     1069         4137  cudaEventCreateWithFlags    
     0.0            46119          2       23059.5    19046        27073  cuMemsetD32_v2              
     0.0            29372          1       29372.0    29372        29372  cudaStreamSynchronize       
     0.0             6115          4        1528.8     1376         1718  cuInit                      
     0.0             5476          1        5476.0     5476         5476  cudaStreamWaitEvent         
     0.0             4558          1        4558.0     4558         4558  cudaEventDestroy            

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.743827.r40.w.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average   Minimum  Maximum                                                   Name                                                
 -------  ---------------  ---------  ---------  -------  --------  ----------------------------------------------------------------------------------------------------
    27.2      15103663591       6804  2219821.2    46047  63918238  ncclAllReduceTreeLLKernel_sum_f32(ncclColl)                                                         
     7.1       3939286848      14225   276927.0   181023    577630  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x32x1_1x1x1x0x1                                     
     4.8       2641917825      10041   263113.0   173023    422814  volta_s884cudnn_fp16_128x128_ldg8_wgrad_idx_exp_interior_nhwc_nt                                    
     4.3       2382176048       5440   437900.0   323134    795389  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_small_nhwc_tt_v1                               
     3.6       1986754087      10039   197903.6   168096    374046  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     3.2       1766408012       5857   301589.2   205471    463453  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     2.3       1273343150       3766   338115.5   319071    429182  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
