Using nsys.759016.r4.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.759016.r4.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum    Maximum                Name            
 -------  ---------------  ---------  -----------  --------  ----------  ----------------------------
    52.8     113097788272      28353    3988917.9      7469    33782999  cudaEventSynchronize        
    11.4      24508043852        562   43608619.0  37099572    63309741  cuModuleLoadDataEx          
     9.2      19647916707    1483579      13243.6      8923     9150371  cudaLaunchKernel            
     7.9      16840127143    1479974      11378.7      8042     6882513  cuLaunchKernel              
     3.9       8379775295     524018      15991.4     11923     8212965  cudaMemcpyAsync             
     3.2       6834989150     632962      10798.4      4060   317553095  cuMemsetD32Async            
     2.2       4614161656       4432    1041101.5      4656     3802236  cuStreamSynchronize         
     1.4       2916918659     269694      10815.7       570     7322230  cuEventDestroy_v2           
     1.3       2757843651     273175      10095.5       515     5828870  cuMemcpyHtoDAsync_v2        
     1.1       2400382936          8  300047867.0      3420  2400351107  cudaStreamCreateWithFlags   
     0.9       1997816063     107035      18665.1      6310   316833399  cudaMemsetAsync             
     0.9       1888187448     587318       3214.9      1578     6805843  cudaEventRecord             
     0.8       1706007983        983    1735511.7      8813   101907329  cuModuleUnload              
     0.8       1621053445     294311       5508.0      1025     3043646  cuEventQuery                
     0.7       1601671293         10  160167129.3      1091  1001278366  cudaFree                    
     0.6       1341000377        563    2381883.4      7565  1335112755  cuMemAlloc_v2               
     0.3        573353111     306562       1870.3       828     8308844  cuEventRecord               
     0.1        320981368     269716       1190.1       711     6153156  cuEventCreate               
     0.1        249842064         10   24984206.4    280429    44988085  cuModuleLoadFatBinary       
     0.1        188382161       8774      21470.5      6461     3387902  cuMemcpyDtoHAsync_v2        
     0.1        169902523          8   21237815.4   2836361    91604023  cuMemHostAlloc              
     0.1        123880056        312     397051.5     21861     2178739  cuEventSynchronize          
     0.1        111523850       6734      16561.3     11989      149714  cuMemcpyDtoDAsync_v2        
     0.0        103842497         16    6490156.1     16109    25442230  cudaIpcOpenMemHandle        
     0.0         51677653      20189       2559.7       976      116199  cuStreamWaitEvent           
     0.0         37826296         36    1050730.4      7977     7227765  cudaMalloc                  
     0.0         35772942       1798      19896.0      8605       51151  cuCtxSynchronize            
     0.0         29372280       1730      16978.2      5005       32518  cudaEventQuery              
     0.0          7503138        562      13350.8     12101      226186  cuMemFree_v2                
     0.0          1719821         78      22049.0      3687     1162870  cuStreamCreate              
     0.0          1241481          7     177354.4     14525      741507  cudaHostAlloc               
     0.0           916434         68      13477.0     10921       25081  cuStreamDestroy_v2          
     0.0           707003        116       6094.9      4184       31072  cudaBindTexture             
     0.0           462212          2     231106.0    223339      238873  cuMemGetInfo_v2             
     0.0           456279         26      17549.2      8186       36270  cudaMemset                  
     0.0           215888         12      17990.7     13888       42168  cudaMemcpy                  
     0.0           195636        116       1686.5      1408        3030  cudaUnbindTexture           
     0.0           100522         58       1733.1      1096        5646  cudaEventCreateWithFlags    
     0.0            90912          2      45456.0     24561       66351  cuMemsetD32_v2              
     0.0            82387          5      16477.4      3334       68476  cudaStreamCreateWithPriority
     0.0             6897          4       1724.3       907        3205  cuInit                      
     0.0             3084          1       3084.0      3084        3084  cudaStreamWaitEvent         

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.759016.r4.w.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average   Minimum  Maximum                                                   Name                                                
 -------  ---------------  ---------  ---------  -------  --------  ----------------------------------------------------------------------------------------------------
