Using nsys.742961.r34.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.742961.r34.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average     Minimum    Maximum                Name            
 -------  ---------------  ---------  ------------  -------  -----------  ----------------------------
    45.2      25825821458       3439     7509689.3    16203     63145125  cudaEventSynchronize        
    17.6      10050160731          8  1256270091.4     3388  10050131748  cudaStreamCreateWithFlags   
     7.7       4422014126     464889        9512.0     5281    296424712  cuMemcpyHtoDAsync_v2        
     4.7       2666571950     163279       16331.4     8242      6721226  cuLaunchKernel              
     4.2       2422525464     156469       15482.5     9066      5751176  cudaLaunchKernel            
     3.4       1966936294       1335     1473360.5     8990    108699605  cuModuleUnload              
     3.1       1750161315         60    29169355.3      961   1141194097  cudaFree                    
     3.1       1749645249    1021326        1713.1      865     34391676  cuEventQuery                
     2.4       1357629255        890     1525426.1     8486   1347017706  cuMemAlloc_v2               
     1.8       1047837852      67075       15621.9    11877      1143172  cudaMemcpyAsync             
     1.4        777453530      81177        9577.3     3748      2505729  cuMemsetD32Async            
     1.0        560918041        354     1584514.2    50084     11902382  cuEventSynchronize          
     1.0        560496443      13610       41182.7     6750    390870823  cudaMemsetAsync             
     0.8        454583740        899      505654.9    98954     59499082  cuModuleLoadFatBinary       
     0.5        279784017      74458        3757.6     1582      1291771  cudaEventRecord             
     0.4        255686456      34566        7397.1      574      1456160  cuEventDestroy_v2           
     0.3        197958955      82696        2393.8      806      1191899  cuEventRecord               
     0.3        194809797       5009       38892.0     5598      1121404  cuMemcpyDtoHAsync_v2        
     0.3        155870091         32     4870940.3    16460     16317999  cudaIpcOpenMemHandle        
     0.2        126959553          9    14106617.0  4873774     35284844  cuMemHostAlloc              
     0.1         63911705         60     1065195.1     7332      5827895  cudaMalloc                  
     0.1         59103125      29961        1972.7      827      1114856  cuStreamWaitEvent           
     0.1         42867534      34589        1239.3      717       145797  cuEventCreate               
     0.0         18125387        923       19637.5    12159        68040  cuMemcpyDtoDAsync_v2        
     0.0         17036723         32      532397.6    23184      2596642  cudaIpcCloseMemHandle       
     0.0         14027259         10     1402725.9    18915     13735708  cudaFreeHost                
     0.0         13946649        889       15688.0    13525       373250  cuMemFree_v2                
     0.0         10633897       1758        6048.9     4588        15740  cuStreamSynchronize         
     0.0          6792278         11      617479.8    14474      6056956  cudaHostAlloc               
     0.0          5182008        313       16555.9     7484       196294  cuCtxSynchronize            
     0.0          3167313         10      316731.3     4500      3059124  cuStreamCreate              
     0.0          1963924          2      981962.0   392708      1571216  cuMemGetInfo_v2             
     0.0          1192816        194        6148.5     3463        37965  cudaBindTexture             
     0.0           891453         50       17829.1     8043        44476  cudaMemset                  
     0.0           386536         20       19326.8    15720        36688  cudaMemcpy                  
     0.0           384473         58        6628.8     6080        12716  cudaEventQuery              
     0.0           321737        194        1658.4     1119         6222  cudaUnbindTexture           
     0.0           104277         60        1738.0     1100         4894  cudaEventCreateWithFlags    
     0.0            75872          5       15174.4     3400        60915  cudaStreamCreateWithPriority
     0.0            56205          2       28102.5    18019        38186  cuMemsetD32_v2              
     0.0            28048          1       28048.0    28048        28048  cudaStreamSynchronize       
     0.0             6308          1        6308.0     6308         6308  cudaStreamWaitEvent         
     0.0             6248          4        1562.0     1256         2048  cuInit                      
     0.0             3791          1        3791.0     3791         3791  cudaEventDestroy            

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.742961.r34.w.sqlite]... 

