Using nsys.742961.r42.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.742961.r42.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average     Minimum   Maximum                Name            
 -------  ---------------  ---------  ------------  -------  ----------  ----------------------------
    44.4      24678173606       3439     7175973.7    12393    62964930  cudaEventSynchronize        
    16.4       9126557871          8  1140819733.9     3433  9126529093  cudaStreamCreateWithFlags   
     8.7       4864520525     464889       10463.8     5375   311309204  cuMemcpyHtoDAsync_v2        
     4.9       2707617892     163279       16582.8     8131     7934721  cuLaunchKernel              
     4.3       2409333079     156469       15398.1     9196     7766365  cudaLaunchKernel            
     3.7       2040874743       1335     1528745.1     8945   109701773  cuModuleUnload              
     3.2       1799043056    1028032        1750.0      955    31294890  cuEventQuery                
     3.0       1644488696         68    24183657.3     1080  1076674235  cudaFree                    
     2.4       1360495405        890     1528646.5     8217  1350037018  cuMemAlloc_v2               
     2.0       1086552896      67077       16198.6    11805     1715229  cudaMemcpyAsync             
     1.4        769653139      81177        9481.2     3672      607449  cuMemsetD32Async            
     1.0        563942639        354     1593058.3    50392    11914113  cuEventSynchronize          
     0.8        437985298        899      487191.7    99070    44128900  cuModuleLoadFatBinary       
     0.6        344941513          9    38326834.8  3556257   272669379  cuMemHostAlloc              
     0.5        282710271      74458        3796.9     1613     2083160  cudaEventRecord             
     0.5        260626118      34566        7540.0      602     1402054  cuEventDestroy_v2           
     0.4        207537368         91     2280630.4    14847    10536960  cudaHostAlloc               
     0.4        195752364       5009       39080.1     5686     1186633  cuMemcpyDtoHAsync_v2        
     0.3        187165074      82696        2263.3      813     1012446  cuEventRecord               
     0.3        169453074      13610       12450.6     6840     1083984  cudaMemsetAsync             
     0.2        130240050         90     1447111.7    12849    31441097  cudaFreeHost                
     0.2        126548100         16     7909256.3    27721    57882864  cudaIpcOpenMemHandle        
     0.1         58230679      29961        1943.5      811      668562  cuStreamWaitEvent           
     0.1         51814070         68      761971.6     8211    11863434  cudaMalloc                  
     0.1         43850516      34591        1267.7      728      604945  cuEventCreate               
     0.0         18319116        923       19847.4    12044       64952  cuMemcpyDtoDAsync_v2        
     0.0         15000851         16      937553.2    25595     4480537  cudaIpcCloseMemHandle       
     0.0         13788823        889       15510.5    13005      404427  cuMemFree_v2                
     0.0         10746944       1758        6113.2     4607       15288  cuStreamSynchronize         
     0.0          4835381        313       15448.5     9568       38735  cuCtxSynchronize            
     0.0          1673673         10      167367.3     3460     1618797  cuStreamCreate              
     0.0          1257515          2      628757.5   235055     1022460  cuMemGetInfo_v2             
     0.0          1254094        194        6464.4     3658       34042  cudaBindTexture             
     0.0           927032         34       27265.6     8223       45707  cudaMemset                  
     0.0           384890         58        6636.0     5997        7929  cudaEventQuery              
     0.0           353700         20       17685.0    15310       29204  cudaMemcpy                  
     0.0           326923        194        1685.2     1077        5636  cudaUnbindTexture           
     0.0           107092         60        1784.9     1059        6017  cudaEventCreateWithFlags    
     0.0            84868          5       16973.6     3394       67612  cudaStreamCreateWithPriority
     0.0            62675          2       31337.5    29152       33523  cuMemsetD32_v2              
     0.0            42807          1       42807.0    42807       42807  cudaStreamSynchronize       
