Using nsys.743227.r12.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.743227.r12.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum   Maximum                Name            
 -------  ---------------  ---------  -----------  -------  ----------  ----------------------------
    51.9      64437577054      13489    4777046.3     9820    64169913  cudaEventSynchronize        
     8.7      10773041920     640333      16824.1     8230    13234204  cuLaunchKernel              
     7.9       9860885455     621019      15878.6     9180     5286068  cudaLaunchKernel            
     6.4       7947025390    4399503       1806.3      942    27261455  cuEventQuery                
     5.5       6851387464     600117      11416.8     5369   298137050  cuMemcpyHtoDAsync_v2        
     3.6       4436554927     262732      16886.2    12154     5446164  cudaMemcpyAsync             
     3.5       4321834213          8  540229276.6     3424  4321804605  cudaStreamCreateWithFlags   
     3.2       3997175394     317829      12576.5     3669   390827431  cuMemsetD32Async            
     1.7       2138400946       1335    1601798.5     9498   117895811  cuModuleUnload              
     1.3       1607864424         68   23645065.1     1008  1039393393  cudaFree                    
     1.1       1373838394        890    1543638.6     8434  1362771997  cuMemAlloc_v2               
     1.1       1321627758     135352       9764.4      591     5480654  cuEventDestroy_v2           
     1.0       1237382578     292374       4232.2     1569    20619714  cudaEventRecord             
     0.7        893697389      53674      16650.5     6921   199763757  cudaMemsetAsync             
     0.5        560971153        354    1584664.3    49340    11858951  cuEventSynchronize          
     0.4        549718312     295066       1863.0      806    21978910  cuEventRecord               
     0.4        457738129        899     509163.7    98663    61424280  cuModuleLoadFatBinary       
     0.2        230993630       6947      33250.8     6232     1620461  cuMemcpyDtoHAsync_v2        
     0.2        209973796         91    2307404.4    15062     9516220  cudaHostAlloc               
     0.2        192976521     103287       1868.4      824     2035787  cuStreamWaitEvent           
     0.1        184006218     135374       1359.2      690     2539547  cuEventCreate               
     0.1        167261136          9   18584570.7  3729357    94556004  cuMemHostAlloc              
     0.1        119278193         16    7454887.1    22966    39790617  cudaIpcOpenMemHandle        
     0.1         80127441         90     890304.9    12986     3766709  cudaFreeHost                
     0.1         69082423       3445      20053.0    12113       94759  cuMemcpyDtoDAsync_v2        
     0.0         47486551         68     698331.6     8296     8406434  cudaMalloc                  
     0.0         15817076        951      16632.0     9863       45651  cuCtxSynchronize            
     0.0         14003793        889      15752.3    12920      321952  cuMemFree_v2                
     0.0         11043671       1758       6282.0     4735       20079  cuStreamSynchronize         
     0.0         10607590         16     662974.4    24810     2435084  cudaIpcCloseMemHandle       
     0.0          1375371         10     137537.1     3810     1279895  cuStreamCreate              
     0.0          1292553        194       6662.6     3351       35380  cudaBindTexture             
