Generating SQLite file nsys.743827.r29.w.sqlite from nsys.743827.r29.w.qdrep
Using nsys.743827.r29.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.743827.r29.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average     Minimum   Maximum                Name            
 -------  ---------------  ---------  ------------  -------  ----------  ----------------------------
    49.6      40586387978       6804     5965077.6    10489    63660756  cudaEventSynchronize        
    11.0       9034274277          8  1129284284.6     3449  9034244985  cudaStreamCreateWithFlags   
     6.5       5314187070     321789       16514.5     8295    12905579  cuLaunchKernel              
     6.3       5154879405     509821       10111.2     5322   267788231  cuMemcpyHtoDAsync_v2        
     5.9       4857811523     310850       15627.5     9168     1795706  cudaLaunchKernel            
     4.4       3626361670    2199206        1648.9      918    15326050  cuEventQuery                
     2.6       2117390299     132185       16018.4    11617     8490747  cudaMemcpyAsync             
     2.5       2071555852       1335     1551727.2     9463   110682613  cuModuleUnload              
     2.2       1812423511         44    41191443.4     1017  1206620691  cudaFree                    
     1.8       1497615946     159809        9371.3     3691     2760341  cuMemsetD32Async            
     1.1        879238744      26922       32658.7     6718   329258922  cudaMemsetAsync             
     1.0        820517289        890      921929.5     7935   810548784  cuMemAlloc_v2               
     0.9        746648218          9    82960913.1  3468617   479366476  cuMemHostAlloc              
     0.8        642066590      68054        9434.7      565     8681637  cuEventDestroy_v2           
     0.7        579472680     146916        3944.2     1599     3229656  cudaEventRecord             
     0.7        560363558        354     1582947.9    49040    11866621  cuEventSynchronize          
     0.6        452045040        899      502831.0    98285    53210463  cuModuleLoadFatBinary       
     0.4        290043180     153260        1892.5      818     1966371  cuEventRecord               
     0.3        223931087       5653       39612.8     6221    13405597  cuMemcpyDtoHAsync_v2        
     0.1        117624020         16     7351501.3    20579    17665617  cudaIpcOpenMemHandle        
     0.1        102000500      54325        1877.6      828      359676  cuStreamWaitEvent           
     0.1         89220512      68076        1310.6      733      900807  cuEventCreate               
     0.1         49733554         44     1130308.0     7529     9286448  cudaMalloc                  
     0.1         44099148         27     1633301.8    15937    12117760  cudaHostAlloc               
     0.0         35351381       1761       20074.6    12062       68063  cuMemcpyDtoDAsync_v2        
     0.0         13294097        889       14954.0    12640      325684  cuMemFree_v2                
     0.0         12475087         16      779692.9    25116     2742372  cudaIpcCloseMemHandle       
     0.0         12211770         26      469683.5    18545     2370336  cudaFreeHost                
     0.0         10441516       1758        5939.4     4553       14642  cuStreamSynchronize         
     0.0          8680976        525       16535.2     9595      264436  cuCtxSynchronize            
     0.0          1273696        194        6565.4     3381       33503  cudaBindTexture             
     0.0           746924          2      373462.0   255477      491447  cuMemGetInfo_v2             
     0.0           680812         34       20023.9     7996       32749  cudaMemset                  
     0.0           660323         10       66032.3     4088      572909  cuStreamCreate              
     0.0           384672         58        6632.3     6051        7822  cudaEventQuery              
     0.0           363005         20       18150.3    14328       36433  cudaMemcpy                  
     0.0           323557        194        1667.8     1086        5717  cudaUnbindTexture           
     0.0            96490         56        1723.0     1095        5576  cudaEventCreateWithFlags    
     0.0            82394          5       16478.8     3503       67999  cudaStreamCreateWithPriority
     0.0            41940          2       20970.0    18484       23456  cuMemsetD32_v2              
     0.0            27069          1       27069.0    27069       27069  cudaStreamSynchronize       
     0.0             6008          1        6008.0     6008        6008  cudaStreamWaitEvent         
     0.0             5415          4        1353.8     1096        1541  cuInit                      
     0.0             2974          1        2974.0     2974        2974  cudaEventDestroy            

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.743827.r29.w.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average   Minimum  Maximum                                                   Name                                                
 -------  ---------------  ---------  ---------  -------  --------  ----------------------------------------------------------------------------------------------------
    27.3      15176796030       6804  2230569.7    38688  63861471  ncclAllReduceTreeLLKernel_sum_f32(ncclColl)                                                         
     7.1       3937415222      14225   276795.4   180415    582397  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x32x1_1x1x1x0x1                                     
     4.7       2622279932      10041   261157.2   171295    426238  volta_s884cudnn_fp16_128x128_ldg8_wgrad_idx_exp_interior_nhwc_nt                                    
     4.3       2362606063       5440   434302.6   319455    795227  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_small_nhwc_tt_v1                               
     3.5       1969225116      10039   196157.5   166847    373950  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     3.2       1753707944       5857   299420.9   203775    466557  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x1x1x0x1                                     
     2.3       1264622277       3766   335799.9   316766    426877  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
     1.6        898371158       2510   357916.8   346718    398846  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_64x32x64x1_1x1x1x0x1                                       
     1.2        673907661        412  1635698.2  1612248   1647703  fusion_238                                                                                          
     1.2        670678418        412  1627860.2  1587575   1807126  select_and_scatter_4351                                                                             
     1.2        664762231       1257   528848.2   317310    703453  volta_fp16_s884cudnn_fp16_256x128_ldg8_relu_f2f_exp_interior_nhwc_tn_v1                             
     1.2        647965466       1257   515485.7   384478    622620  dgrad_1x1_stride_2x2                                                                                
     1.1        615467665        412  1493853.6  1482072   1555384  fusion_237                                                                                          
     1.1        607724452       1255   484242.6   468061    546237  volta_s884cudnn_fp16_64x64_sliced1x4_ldg8_wgrad_idx_exp_interior_nhwc_nt                            
     1.0        546753426        836   654011.3     5856   1326073  fusion_254                                                                                          
     1.0        546170418        418  1306627.8   247966   1333881  fusion_269                                                                                          
     0.9        518438941       1255   413098.8   397342    479741  volta_fp16_s884cudnn_fp16_256x64_ldg8_relu_f2f_exp_small_nhwc_tn_v1                                 
     0.9        515133354       1255   410464.8   396830    454717  volta_fp16_s884cudnn_fp16_256x64_ldg8_dgrad_f2f_exp_small_nhwc_tt_v1                                
     0.8        418316288       1255   333319.8   325791    386398  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_256x128x32x1_1x3x3x0x1                                     
     0.7        410041128        418   980959.6     4128    996890  fusion_219                                                                                          
     0.7        380313206      67298     5651.2     2911     41120  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.6        357217604       2092   170754.1   164128    203071  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_256x128x32x1_1x1x1x0x1                                     
     0.6        346731712      67298     5152.2     2944     40191  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.6        328935246        412   798386.5   790235    806939  fusion_287                                                                                          
     0.6        306913935       1260   243582.5   118207    431037  void foldedNhwcToNhwcKernel<__half, __half, float, true>(int, int, int, int, int, int, int, __half …
     0.5        302668531        412   734632.4   733308    737788  fusion_253                                                                                          
     0.5        302628023        412   734534.0   733276    744028  fusion_268                                                                                          
     0.5        302575088        418   723863.8     3648    738620  fusion_820                                                                                          
     0.5        300901738        418   719860.6     3712    732955  fusion_799                                                                                          
     0.5        300841692        412   730198.3   728635    735004  fusion_778                                                                                          
     0.5        294481814        836   352251.0     3424    713468  fusion_220                                                                                          
     0.5        286197101        419   683048.0   676285    793948  void first_layer_fwd_kernel<4, 7, 7, 64>(FirstLayerFwdParams)                                       
     0.5        283872600        419   677500.2   671740    784828  void first_layer_wgrad_kernel<7, 7, 2, 2, 64>(FirstLayerWgradParams)                                
     0.5        281901523        412   684227.0   677404    774587  fusion_286                                                                                          
     0.5        272230908        418   651270.1   124831    669307  fusion_333                                                                                          
     0.5        270702219        418   647613.0   124831    671485  fusion_303                                                                                          
     0.5        270331749        418   646726.7   124991    670747  fusion_318                                                                                          
     0.5        255577664        837   305349.7   301311    346270  volta_s884cudnn_fp16_256x128_ldg8_wgrad_exp_interior_nhwc_nt_v1                                     
     0.4        209138933        412   507618.8   506718    509789  fusion_847                                                                                          
     0.4        205731161        412   499347.5   494141    503453  fusion_273                                                                                          
     0.4        205023162        419   489315.4   484669    561917  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x256x32x1_1x3x3x0x1                                     
     0.3        187375857        419   447197.7   442526    520125  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_128x128x64x1_1x3x3x0x1                                     
     0.3        178320570        418   426604.2   419774    471038  reduce_window_1391                                                                                  
     0.3        174832132        418   418258.7   409470    744316  fusion_274                                                                                          
     0.3        165154882        412   400861.4   393822    408990  fusion_351                                                                                          
     0.3        153564814        412   372730.1   371518    373918  fusion_302                                                                                          
     0.3        153532904        412   372652.7   371646    385566  fusion_332                                                                                          
     0.3        153449426        412   372450.1   371486    374110  fusion_317                                                                                          
     0.3        152245336        419   363354.0   357406    397566  volta_s884cudnn_fp16_128x128_ldg8_wgrad_exp_interior_nhwc_nt_v1                                     
     0.3        152039737        412   369028.5   346942    438813  fusion_350                                                                                          
     0.3        151926324        418   363460.1     3647    371966  fusion_751                                                                                          
     0.3        150697530        418   360520.4     3648    372733  fusion_730                                                                                          
     0.3        150655839        418   360420.7     3680    367166  fusion_709                                                                                          
     0.3        150528841        412   365361.3   364477    372829  fusion_688                                                                                          
     0.3        139883035        419   333849.7   328446    386494  Volta_hmma_implicit_gemm_wgrad_fp32_nhwc_256x128x32x1_1x1x1x1x1                                     
     0.2        136397734        418   326310.4    62752    337470  fusion_427                                                                                          
     0.2        135801922        418   324885.0    62368    336798  fusion_382                                                                                          
     0.2        134762505        418   322398.3    62111    331262  fusion_412                                                                                          
     0.2        134745769        418   322358.3    63040    335806  fusion_397                                                                                          
     0.2        134487336        418   321740.0    62528    331358  fusion_367                                                                                          
     0.2        132352678         72  1838231.6  1062491   2753105  void cudnn::detail::convolve_common_engine_float_NHWC<__half, __half, 512, 6, 8, 3, 3, 5, true, tru…
     0.2        129895556      44308     2931.7     2623     26943  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.2        129344236      12575    10285.8     8767     22080  void convertTensor_kernel<float, __half, float>(float, float const*, float, __half*, unsigned long) 
     0.2        128030387        412   310753.4   256894    399742  fusion_444                                                                                          
     0.2        127007405        838   151560.1   149279    163231  Volta_hmma_implicit_gemm_fprop_fp32_nhwc_128x64x64x1_1x1x1x0x1                                      
     0.2        121635164       2948    41260.2    39935     49632  redzone_checker                                                                                     
     0.2        113511086         30  3783702.9  1900726   7030937  void cudnn::detail::wgrad_alg0_engine_NHWC<__half, 128, 6, 8, 3, 3, 5, true, 512>(int, int, int, __…
     0.2        111743795        418   267329.7   247199   1545911  fusion_243                                                                                          
     0.2        105929037        418   253418.7   245247    373086  fusion_338                                                                                          
     0.2        105382156        830   126966.5     5184    252126  fusion_258                                                                                          
     0.2        104669232        418   250404.9     3744    257181  fusion_770                                                                                          
     0.2        103347497        412   250843.4   248926    252606  fusion_337                                                                                          
     0.2        103229399        412   250556.8   248991    253919  fusion_229                                                                                          
     0.2        103154895        412   250376.0   248959    259069  fusion_248                                                                                          
     0.2        103109877        418   246674.3     3616    253023  fusion_224                                                                                          
     0.2        103108357        412   250263.0   248095    251806  fusion_263                                                                                          
     0.2        102591075        412   249007.5   247263    250782  fusion_830                                                                                          
     0.2        102468359        418   245139.6     3904    251039  fusion_825                                                                                          
     0.2        102290651        418   244714.5     3808    252862  fusion_804                                                                                          
     0.2        102228706        418   244566.3     4096    252479  fusion_783                                                                                          
     0.2        101789498        418   243515.5     3488    250014  fusion_852                                                                                          
     0.2         89460678        412   217137.6   205599    230047  fusion_447                                                                                          
     0.2         87426168        418   209153.5   186591   1613079  fusion_244                                                                                          
     0.2         83679176        418   200189.4   186975    996411  fusion_225                                                                                          
     0.1         82304372        418   196900.4   187295    736028  fusion_259                                                                                          
     0.1         78720547        418   188326.7   185214    250399  fusion_230                                                                                          
     0.1         78580837        418   187992.4   184735    251839  fusion_264                                                                                          
