Generating SQLite file nsys.743827.r37.w.sqlite from nsys.743827.r37.w.qdrep
Using nsys.743827.r37.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.743827.r37.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average     Minimum    Maximum                Name            
 -------  ---------------  ---------  ------------  -------  -----------  ----------------------------
    47.1      39561397794       6804     5814432.4    10197     63646751  cudaEventSynchronize        
    13.5      11287934427          8  1410991803.4     3502  11287904018  cudaStreamCreateWithFlags   
     6.5       5447460903     321789       16928.7     8292     20118514  cuLaunchKernel              
     5.8       4872067074     310850       15673.4     9150      8350899  cudaLaunchKernel            
     5.7       4758751469     509821        9334.2     5332    272699429  cuMemcpyHtoDAsync_v2        
     4.4       3684054462    2182693        1687.8      957     30039079  cuEventQuery                
     2.9       2455893652     159809       15367.7     3769    403190901  cuMemsetD32Async            
     2.8       2322432895       1335     1739650.1     8905    195009257  cuModuleUnload              
     2.5       2125447652     132186       16079.2    11746      6009411  cudaMemcpyAsync             
     2.3       1966923914         60    32782065.2      891   1299021247  cudaFree                    
     1.3       1092814068        890     1227881.0     8462   1082240004  cuMemAlloc_v2               
     0.8        697520607      26922       25908.9     6836    357654070  cudaMemsetAsync             
     0.7        614787412      68054        9033.8      569      6103864  cuEventDestroy_v2           
     0.7        571614663     146916        3890.8     1576      2012190  cudaEventRecord             
     0.7        559622356        354     1580854.1     9195     11890792  cuEventSynchronize          
     0.5        442773541        899      492517.8    94565     42304782  cuModuleLoadFatBinary       
     0.5        384790748          9    42754527.6  3338233    213186486  cuMemHostAlloc              
     0.3        290018771     153260        1892.3      803      2141212  cuEventRecord               
     0.3        210636718       5653       37261.1     7701      1185494  cuMemcpyDtoHAsync_v2        
     0.2        197275730         32     6164866.6    15966     34516321  cudaIpcOpenMemHandle        
     0.1         98195241      54325        1807.6      822       696086  cuStreamWaitEvent           
     0.1         84821132      68076        1246.0      717       691751  cuEventCreate               
     0.1         58574384         60      976239.7     7339      8248145  cudaMalloc                  
     0.1         51677682         32     1614927.6    24343     29838217  cudaIpcCloseMemHandle       
     0.0         36438343       1761       20691.8    12134       294455  cuMemcpyDtoDAsync_v2        
     0.0         13601779        889       15300.1    12986       328030  cuMemFree_v2                
     0.0         11161723       1758        6349.1     4546       587354  cuStreamSynchronize         
     0.0          8615786        525       16411.0     9671        59606  cuCtxSynchronize            
     0.0          1556336         11      141485.1    19484       710850  cudaHostAlloc               
