Generating SQLite file nsys.743827.r43.w.sqlite from nsys.743827.r43.w.qdrep
Using nsys.743827.r43.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.743827.r43.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum   Maximum                Name            
 -------  ---------------  ---------  -----------  -------  ----------  ----------------------------
    51.0      41142255529       6804    6046774.8     9166    63813449  cudaEventSynchronize        
     8.4       6793336599          8  849167074.9     3597  6793306249  cudaStreamCreateWithFlags   
     6.6       5333372991     321789      16574.1     8245    26317734  cuLaunchKernel              
     6.4       5135742988     509821      10073.6     5262   292151020  cuMemcpyHtoDAsync_v2        
     5.9       4786523169     310850      15398.2     9225     1989397  cudaLaunchKernel            
     4.7       3761699427    2169172       1734.2      969    32967608  cuEventQuery                
     2.6       2089727130         60   34828785.5      957  1442850217  cudaFree                    
     2.6       2080916388     132184      15742.6    11763     5544939  cudaMemcpyAsync             
     2.5       2037659176       1335    1526336.5     9583   112562985  cuModuleUnload              
     2.5       1978688752     159809      12381.6     3695   226366361  cuMemsetD32Async            
     1.4       1143297321          9  127033035.7  3519300  1080892511  cuMemHostAlloc              
     0.7        603171086      26922      22404.4     6806   267052906  cudaMemsetAsync             
     0.7        597139599      68054       8774.5      587     5017604  cuEventDestroy_v2           
     0.7        589675923     146916       4013.7     1615    15810242  cudaEventRecord             
     0.7        562408255        354    1588723.9    49784    11879711  cuEventSynchronize          
     0.5        443409371        899     493225.1    96709    46583712  cuModuleLoadFatBinary       
     0.4        297090320         32    9284072.5    17076    43341207  cudaIpcOpenMemHandle        
     0.4        284270887        890     319405.5     8220   274115830  cuMemAlloc_v2               
     0.3        275978554     153260       1800.7      811     1670417  cuEventRecord               
     0.3        208202922       5653      36830.5     6816     2890435  cuMemcpyDtoHAsync_v2        
     0.1        101510426      54325       1868.6      839     1745939  cuStreamWaitEvent           
     0.1        100374162         60    1672902.7     7476    11698526  cudaMalloc                  
     0.1         95241595         32    2976299.8    23681    31423584  cudaIpcCloseMemHandle       
