Using nsys.759016.r3.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.759016.r3.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum    Maximum                Name            
 -------  ---------------  ---------  -----------  --------  ----------  ----------------------------
    52.5     111995192651      28353    3950029.7      7504    38350192  cudaEventSynchronize        
    11.4      24406656088        562   43428213.7  37056709    62866623  cuModuleLoadDataEx          
     9.3      19755423808    1483579      13316.1      9037    10097353  cudaLaunchKernel            
     8.0      17054925530    1479974      11523.8      7967     7751943  cuLaunchKernel              
     3.9       8406692128     524023      16042.6     11930     8400494  cudaMemcpyAsync             
     2.8       5892031292     632962       9308.7      4074   317179905  cuMemsetD32Async            
     2.2       4606953253       4432    1039475.0      4711     3777168  cuStreamSynchronize         
     2.1       4390310935     273175      16071.4       536   298809263  cuMemcpyHtoDAsync_v2        
     1.4       3000354495     269694      11125.0       579     8374428  cuEventDestroy_v2           
     1.1       2433792624          8  304224078.0      3424  2433764184  cudaStreamCreateWithFlags   
     0.9       1994918856     587318       3396.7      1635     7972566  cudaEventRecord             
     0.8       1713726086        983    1743363.3      9232   115010119  cuModuleUnload              
     0.8       1639690938     294495       5567.8       879     4321716  cuEventQuery                
     0.7       1582716710         14  113051193.6      1093   996143983  cudaFree                    
     0.6       1239306465     107035      11578.5      6315     6994446  cudaMemsetAsync             
     0.4        825299778          8  103162472.3   2946654   741617711  cuMemHostAlloc              
     0.3        544265288        563     966723.4      7351   538257683  cuMemAlloc_v2               
     0.2        530634753     306562       1730.9       832     7023938  cuEventRecord               
     0.2        362752387     269722       1344.9       713     4981396  cuEventCreate               
     0.1        248987333         10   24898733.3    332236    46005361  cuModuleLoadFatBinary       
     0.1        194499589       8774      22167.7      6369     4888789  cuMemcpyDtoHAsync_v2        
     0.1        123093182        312     394529.4     22001     2200356  cuEventSynchronize          
     0.1        112431055       6734      16696.0     12201       41146  cuMemcpyDtoDAsync_v2        
     0.0         64655611          8    8081951.4     14819    26408235  cudaIpcOpenMemHandle        
     0.0         54125931      20189       2681.0       975      712948  cuStreamWaitEvent           
     0.0         31392113       1730      18145.7      5010       58750  cudaEventQuery              
     0.0         25300835       1798      14071.7      8175       46349  cuCtxSynchronize            
     0.0         24454453         19    1287076.5     14328     6231372  cudaHostAlloc               
     0.0         23940353         32     748136.0      6989     8609731  cudaMalloc                  
     0.0          8036610        562      14300.0     12196      194590  cuMemFree_v2                
     0.0          1407180         78      18040.8      3515      579647  cuStreamCreate              
     0.0          1073434         68      15785.8     11209       24319  cuStreamDestroy_v2          
     0.0           850117          8     106264.6     28436      285257  cudaHostRegister            
     0.0           808074        116       6966.2      4242       25556  cudaBindTexture             
     0.0           547954          2     273977.0    201242      346712  cuMemGetInfo_v2             
     0.0           387145         18      21508.1      8638       48281  cudaMemset                  
     0.0           233290        116       2011.1      1498        6005  cudaUnbindTexture           
     0.0           204225         12      17018.8     13500       26497  cudaMemcpy                  
     0.0           100030         58       1724.7      1094        4838  cudaEventCreateWithFlags    
     0.0            72971          5      14594.2      3222       59086  cudaStreamCreateWithPriority
     0.0            60634          2      30317.0     19117       41517  cuMemsetD32_v2              
     0.0             8062          4       2015.5      1668        2941  cuInit                      
     0.0             3541          1       3541.0      3541        3541  cudaStreamWaitEvent         

Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/gpukernsum.py nsys.759016.r3.w.sqlite]... 

 Time(%)  Total Time (ns)  Instances   Average   Minimum  Maximum                                                   Name                                                
 -------  ---------------  ---------  ---------  -------  --------  ----------------------------------------------------------------------------------------------------
    37.0      34553439936      28353  1218687.3    26303  10836285  ncclAllReduceTreeLLKernel_sum_f32(ncclColl)                                                         
    10.4       9764064516     111925    87237.6    54368    193407  volta_fp16_s884cudnn_fp16_128x128_ldg8_relu_f2f_exp_interior_nhwc_tn_v1                             
     6.7       6267864567      58464   107209.0    61279    192511  volta_s884cudnn_fp16_64x64_sliced1x4_ldg8_wgrad_idx_exp_interior_nhwc_nt                            
     3.2       3008391941      21716   138533.4   102336    248863  volta_fp16_s884cudnn_fp16_128x128_ldg8_dgrad_f2f_exp_small_nhwc_tt_v1                               
     2.7       2490734817      28407    87680.3    52670    172672  volta_s884cudnn_fp16_128x128_ldg8_wgrad_idx_exp_interior_nhwc_nt                                    
     2.5       2310619921      18378   125727.5   107168    191839  volta_fp16_s884cudnn_fp16_128x128_ldg8_relu_f2f_exp_small_nhwc_tn_v1                                
     1.6       1520732438     268870     5656.0     2848     41150  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     1.5       1386404203     268870     5156.4     2879     42111  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     1.2       1147241866       8353   137344.9   109984    178528  volta_fp16_s884cudnn_fp16_256x64_ldg8_relu_f2f_exp_small_nhwc_tn_v1                                 
     0.9        840327363      86871     9673.3     7744     23232  void convertTensor_kernel<float, __half, float>(float, float const*, float, __half*, unsigned long) 
     0.8        761509232       5016   151816.0   125248    186911  dgrad_1x1_stride_2x2                                                                                
     0.8        707149899       3322   212868.7     2880    433023  fusion_238                                                                                          
     0.7        680329938       1652   411822.0   394302    470078  select_and_scatter_4363                                                                             
     0.7        632931245       5011   126308.4   108319    148415  volta_fp16_s884cudnn_fp16_256x64_ldg8_dgrad_f2f_exp_small_nhwc_tt_v1                                
     0.6        590824399       3340   176893.5     5088    359967  fusion_254                                                                                          
     0.6        583418293       3340   174676.1     2943    356990  fusion_269                                                                                          
     0.6        569765076       3322   171512.7     8352    347455  fusion_237                                                                                          
     0.6        527167480     177020     2978.0     2784    102304  void Eigen::internal::EigenMetaKernel<Eigen::TensorEvaluator<Eigen::TensorAssignOp<Eigen::TensorMap…
     0.5        501334335     168725     2971.3     2559     16096  cudnn::gemm::computeOffsetsKernel(cudnn::gemm::ComputeOffsetsParams)                                
     0.5        464127549       3340   138960.3     2911    288351  fusion_219                                                                                          
     0.5        447583673      86871     5152.3     2431     18880  void scalePackedTensor_kernel<float, float>(cudnnTensor4dStruct, float*, float)                     
     0.4        355699248       1671   212866.1   209759    248959  void first_layer_wgrad_kernel<7, 7, 2, 2, 64>(FirstLayerWgradParams)                                
     0.4        353070725       3322   106282.6     2912    215870  fusion_287                                                                                          
     0.4        331615489       1671   198453.3   196063    230495  void first_layer_fwd_kernel<4, 7, 7, 64>(FirstLayerFwdParams)                                       
     0.3        320376468       5013    63909.1    33312    109055  void foldedNhwcToNhwcKernel<__half, __half, float, true>(int, int, int, int, int, int, int, __half …
     0.3        317926343       3340    95187.5     2912    198718  fusion_220                                                                                          
     0.3        314391053       3340    94129.1     2976    197856  fusion_253                                                                                          
     0.3        313688954       3340    93918.8     2944    193343  fusion_268                                                                                          
     0.3        309942354       1670   185594.2     3488    190079  fusion_821                                                                                          
     0.3        306724718       1670   183667.5     3552    187935  fusion_800                                                                                          
     0.3        306048100       1652   185259.1   184511    187488  fusion_779                                                                                          
     0.3        296156851       3340    88669.7     2944    182783  fusion_318                                                                                          
     0.3        293370786       3340    87835.6     2944    180160  fusion_303                                                                                          
     0.3        289098503       1670   173112.9    31199    183200  fusion_333                                                                                          
     0.3        287301945       3322    86484.6     2912    177056  fusion_286                                                                                          
     0.3        267930758      86871     3084.2     2718     12319  cudnn::gemm::computeWgradOffsetsKernel(cudnn::gemm::ComputeOffsetsParams)                           
     0.2        231975913       1652   140421.3   134655    149151  fusion_447                                                                                          
     0.2        225026369       3340    67373.2     3296    130464  fusion_273                                                                                          
     0.2        212518067       1652   128642.9   127872    131807  fusion_848                                                                                          
     0.2        211084756       3340    63199.0     2912    188704  fusion_274                                                                                          
     0.2        194605108       1652   117799.7   113983    123520  fusion_351                                                                                          
     0.2        185558110       1670   111112.6   107136    123744  reduce_window_1393                                                                                  
     0.2        181536099       3342    54319.6    51072     64800  volta_fp16_s884cudnn_fp16_256x64_ldg8_relu_f2f_exp_interior_nhwc_tn_v1                              
     0.2        179417209       3340    53717.7     3328     97119  fusion_302                                                                                          
     0.2        178961860       1670   107162.8    16159    112255  fusion_397                                                                                          
     0.2        177612747       1670   106354.9    16128    112768  fusion_412                                                                                          
     0.2        169372018       1670   101420.4    15808    107200  fusion_367                                                                                          
     0.2        168311386       1670   100785.3    15808    105696  fusion_427                                                                                          
     0.2        166380047       1670    99628.8    16063    104768  fusion_382                                                                                          
     0.2        162452692       3340    48638.5     3168     97502  fusion_317                                                                                          
     0.2        161295862       1670    96584.3     8896    103968  fusion_461                                                                                          
     0.2        156932870       1670    93971.8     3328    100222  fusion_332                                                                                          
     0.2        156340450       1670    93617.0     3520     99454  fusion_752                                                                                          
     0.2        154324359       1670    92409.8     3488    101023  fusion_731                                                                                          
     0.2        153471793       1652    92900.6    91872     95710  fusion_689                                                                                          
     0.2        153078905       1670    91664.0     3488     94335  fusion_710                                                                                          
     0.2        147773254       1652    89451.1    87616    102496  fusion_485                                                                                          
     0.2        145262876       1652    87931.5    85055     94239  fusion_350                                                                                          
     0.2        144816941       1670    86716.7    81376     95679  fusion_338                                                                                          
     0.1        134649819       3340    40314.3     3552     93504  fusion_230                                                                                          
     0.1        132271834       3340    39602.3     2912    430238  fusion_244                                                                                          
     0.1        131189873       3340    39278.4     8352     75391  fusion_264                                                                                          
     0.1        130575788       3340    39094.5     2912    187999  fusion_259                                                                                          
     0.1        128104431       3340    38354.6     2943    252319  fusion_225                                                                                          
     0.1        126952404       1670    76019.4    48896     83423  fusion_432                                                                                          
     0.1        122427722       3340    36655.0     2912     75839  fusion_249                                                                                          
     0.1        121723259       1670    72888.2     3423     77760  fusion_853                                                                                          
     0.1        120966502       3340    36217.5     4640    337247  fusion_243                                                                                          
     0.1        117442378       1670    70324.8     9664     79967  fusion_476                                                                                          
     0.1        116674942       3340    34932.6     3296     75072  fusion_263                                                                                          
     0.1        115199672       1670    68981.8     3744     72830  fusion_826                                                                                          
     0.1        115063475       3340    34450.1     3327     68064  fusion_258                                                                                          
     0.1        114349599       1670    68472.8     3999     73439  fusion_784                                                                                          
     0.1        113700824       1670    68084.3     3615     71264  fusion_805                                                                                          
     0.1        113697153       1652    68823.9    67519     71616  fusion_831                                                                                          
     0.1        111573429       3340    33405.2     2880     68672  fusion_229                                                                                          
     0.1        110856475       3340    33190.6     2944     76160  fusion_224                                                                                          
