Generating SQLite file nsys.759016.r9.w.sqlite from nsys.759016.r9.w.qdrep
Using nsys.759016.r9.w.sqlite for SQL queries.
Running [/autofs/nccs-svm1_sw/summit/nsight-systems/2020.5.1.85/target-linux-ppc64le/reports/cudaapisum.py nsys.759016.r9.w.sqlite]... 

 Time(%)  Total Time (ns)  Num Calls    Average    Minimum    Maximum                Name            
 -------  ---------------  ---------  -----------  --------  ----------  ----------------------------
    52.3     110688405909      28353    3903939.8      7787    36935975  cudaEventSynchronize        
    11.5      24421586252        562   43454779.8  37081127    62695760  cuModuleLoadDataEx          
     9.1      19336812770    1483579      13033.9      9002    11261589  cudaLaunchKernel            
     7.9      16612839526    1479974      11225.1      7828     7951613  cuLaunchKernel              
     4.1       8594938115     524022      16401.9     11904     6726194  cudaMemcpyAsync             
     2.6       5526081804     632962       8730.5      4154   259015353  cuMemsetD32Async            
     2.3       4872065371     273175      17835.0       515   362700157  cuMemcpyHtoDAsync_v2        
     2.3       4801742878       4432    1083425.7      4669     3907581  cuStreamSynchronize         
     1.3       2695067306     269694       9993.1       582     5999774  cuEventDestroy_v2           
     1.2       2500446233          8  312555779.1      3487  2500414005  cudaStreamCreateWithFlags   
     0.9       1864436464     587318       3174.5      1714     6288363  cudaEventRecord             
     0.9       1857150885        983    1889268.4      8816   109840929  cuModuleUnload              
     0.8       1640057998     293449       5588.9       922     2787148  cuEventQuery                
     0.7       1546695129         14  110478223.5       986   983243071  cudaFree                    
     0.6       1357949661        563    2411988.7      7524  1351682470  cuMemAlloc_v2               
     0.6       1222344362     107035      11420.0      7110     3240301  cudaMemsetAsync             
     0.2        527543083     306562       1720.8       832     8069419  cuEventRecord               
     0.2        332188075     269715       1231.6       719     5708275  cuEventCreate               
     0.1        258677320         10   25867732.0    306211    51801873  cuModuleLoadFatBinary       
     0.1        189850563       8774      21637.9      6500     1266686  cuMemcpyDtoHAsync_v2        
     0.1        162301462          8   20287682.8   2730052    90965189  cuMemHostAlloc              
     0.1        122815218        312     393638.5     21095     2185116  cuEventSynchronize          
     0.1        110159685       6734      16358.7     12347       49268  cuMemcpyDtoDAsync_v2        
     0.0         93685698          8   11710712.3     15722    51854354  cudaIpcOpenMemHandle        
     0.0         53496715      20189       2649.8      1043      161453  cuStreamWaitEvent           
     0.0         40121282         19    2111646.4     14823     9336808  cudaHostAlloc               
     0.0         33877344         32    1058667.0      7178    12700000  cudaMalloc                  
     0.0         31304633       1730      18095.2      5543       37161  cudaEventQuery              
     0.0         29114637       1798      16192.8      8266       45777  cuCtxSynchronize            
     0.0          8325110        562      14813.4     12594      255429  cuMemFree_v2                
